Energy [eV]	Cross Section	Asymmetry Parameter
50.0	0.7722	2
55.0	0.6724	2
60.0	0.6091	2
65.0	0.5634	2
70.0	0.526	2
75.0	0.4921	2
80.0	0.4599	2
85.0	0.4291	2
90.0	0.4	2
95.0	0.373	2
100.0	0.3485	2
105.0	0.3263	2
110.0	0.3064	2
115.0	0.2885	2
120.0	0.2722	2
125.0	0.2574	2
130.0	0.2437	2
132.3	0.2378	2
135.0	0.2311	2
140.0	0.2194	2
145.0	0.2085	2
150.0	0.1984	2
151.4	0.1957	2
155.0	0.18899999999999997	2
160.0	0.1803	2
165.0	0.1721	2
170.0	0.1646	2
175.0	0.1576	2
180.0	0.151	2
185.0	0.1449	2
190.0	0.1392	2
195.0	0.1338	2
200.0	0.1287	2
205.0	0.124	2
210.0	0.1194	2
215.0	0.1152	2
220.0	0.1112	2
225.0	0.1073	2
230.0	0.1037	2
235.0	0.1003	2
240.0	0.09701	2
245.0	0.09391000000000001	2
250.0	0.09097999999999999	2
255.0	0.08818	2
260.0	0.08553	2
265.0	0.083	2
270.0	0.08059	2
275.0	0.07829	2
280.0	0.0761	2
285.0	0.07400000000000001	2
290.0	0.07199	2
295.0	0.07007000000000001	2
300.0	0.06822	2
305.0	0.06645	2
310.0	0.06475	2
315.0	0.06311	2
320.0	0.06154	2
325.0	0.06002999999999999	2
330.0	0.05857999999999999	2
335.0	0.057179999999999995	2
340.0	0.05584	2
345.0	0.05454	2
360.0	0.05094	2
380.0	0.046689999999999995	2
400.0	0.042980000000000004	2
420.0	0.03972	2
440.0	0.03682	2
460.0	0.03425	2
480.0	0.03195	2
500.0	0.029889999999999996	2
520.0	0.028030000000000003	2
540.0	0.02634	2
560.0	0.0248	2
580.0	0.02341	2
600.0	0.02213	2
620.0	0.02096	2
640.0	0.019880000000000002	2
660.0	0.01889	2
680.0	0.01797	2
700.0	0.01712	2
720.0	0.016319999999999998	2
740.0	0.015590000000000001	2
760.0	0.01491	2
780.0	0.01427	2
800.0	0.013669999999999998	2
850.0	0.012329999999999999	2
900.0	0.01119	2
950.0	0.0102	2
1000.0	0.009337	2
1041.0	0.008709999999999999	2
1050.0	0.008581	2
1100.0	0.007916	2
1150.0	0.007326999999999999	2
1200.0	0.0068	2
1250.0	0.006331	2
1253.6	0.006299	2
1300.0	0.005908	2
1350.0	0.005527000000000001	2
1400.0	0.005182	2
1450.0	0.004868	2
1486.6	0.004657	2
1500.0	0.004584	2
