Energy [eV]	Cross Section	Asymmetry Parameter
60.0	0.3021	2
80.0	0.2886	2
100.0	0.2555	2
120.0	0.2162	2
132.3	0.1956	2
140.0	0.184	2
151.4	0.1684	2
160.0	0.1577	2
180.0	0.136	2
200.0	0.1184	2
220.0	0.1041	2
240.0	0.09229	2
260.0	0.08233	2
280.0	0.07393999999999999	2
300.0	0.06683	2
320.0	0.06075	2
340.0	0.055479999999999995	2
360.0	0.05088	2
380.0	0.04685	2
400.0	0.04331	2
420.0	0.04017	2
440.0	0.037380000000000004	2
460.0	0.03488	2
480.0	0.03263	2
500.0	0.0306	2
520.0	0.02877	2
540.0	0.0271	2
560.0	0.025580000000000002	2
580.0	0.02419	2
600.0	0.02291	2
620.0	0.02174	2
640.0	0.020659999999999998	2
660.0	0.01966	2
680.0	0.01873	2
700.0	0.01787	2
720.0	0.01707	2
740.0	0.01633	2
760.0	0.01563	2
780.0	0.014980000000000002	2
800.0	0.014369999999999999	2
850.0	0.013009999999999999	2
900.0	0.01184	2
950.0	0.01082	2
1000.0	0.009931	2
1041.0	0.009284	2
1050.0	0.009151000000000001	2
1100.0	0.008461	2
1150.0	0.007848	2
1200.0	0.007301	2
1250.0	0.006809	2
1253.6	0.006776000000000001	2
1300.0	0.006368	2
1350.0	0.005967	2
1400.0	0.005605	2
1450.0	0.005275	2
1486.6	0.005051	2
1500.0	0.004973	2
