Energy [eV]	Cross Section	Asymmetry Parameter
680.0	0.07177	0.2553
685.0	0.07842	0.14400000000000002
690.0	0.07955	-0.01116
695.0	0.08071	-0.1261
700.0	0.08615	-0.06492
705.0	0.09915	0.2186
710.0	0.1232	0.6204
715.0	0.1631	1.006
720.0	0.2243	1.2930000000000001
725.0	0.3116	1.4609999999999999
730.0	0.4284	1.53
735.0	0.5766	1.531
740.0	0.7581	1.49
745.0	0.9734	1.426
750.0	1.2209999999999999	1.35
755.0	1.495	1.27
760.0	1.784	1.19
765.0	2.0780000000000003	1.114
770.0	2.363	1.042
775.0	2.63	0.975
780.0	2.872	0.9134
785.0	3.0860000000000003	0.8569
790.0	3.2710000000000004	0.8053
795.0	3.424	0.7583
800.0	3.548	0.7155
805.0	3.6439999999999997	0.6768
810.0	3.715	0.6418
815.0	3.765	0.6102
820.0	3.7969999999999997	0.5818
825.0	3.815	0.5562
830.0	3.822	0.5333
835.0	3.821	0.5128
840.0	3.812	0.4945
845.0	3.798	0.4782
850.0	3.78	0.4637
855.0	3.758	0.4509
860.0	3.733	0.4395
865.0	3.705	0.4296
870.0	3.675	0.4209
875.0	3.6439999999999997	0.4133
880.0	3.612	0.4068
885.0	3.5789999999999997	0.4013
890.0	3.5460000000000003	0.3967
895.0	3.513	0.3928
900.0	3.48	0.3897
905.0	3.447	0.3873
910.0	3.4139999999999997	0.3856
915.0	3.3819999999999997	0.3843
920.0	3.35	0.3837
925.0	3.318	0.3834
930.0	3.286	0.3837
935.0	3.255	0.3843
940.0	3.2230000000000003	0.3853
945.0	3.1919999999999997	0.3866
950.0	3.161	0.3882
955.0	3.13	0.3901
960.0	3.1	0.3923
965.0	3.07	0.3947
970.0	3.0410000000000004	0.3974
975.0	3.012	0.4002
1000.0	2.872	0.4169
1041.0	2.658	0.4498
1050.0	2.613	0.4575
1100.0	2.381	0.5018
1150.0	2.171	0.5461
1200.0	1.9809999999999999	0.5884
1250.0	1.81	0.6281
1253.6	1.798	0.6308
1300.0	1.6540000000000001	0.6648
1350.0	1.515	0.6986
1400.0	1.3880000000000001	0.7296
1450.0	1.274	0.758
1486.6	1.197	0.7772
1500.0	1.17	0.7839
