Energy [eV]	Cross Section	Asymmetry Parameter
10.0	8.494	0.3694
10.2	8.593	0.3694
15.0	7.9879999999999995	0.4771
16.71	6.973	0.5338
20.0	5.051	0.6459999999999999
21.22	4.453	0.6873
25.0	3.0410000000000004	0.8113
26.86	2.545	0.8698
30.0	1.915	0.9649
35.0	1.261	1.107
40.0	0.857	1.238
40.81	0.8071	1.258
45.0	0.598	1.358
50.0	0.4274	1.4680000000000002
55.0	0.3126	1.567
60.0	0.2336	1.655
65.0	0.1778	1.734
70.0	0.1376	1.8019999999999998
75.0	0.10800000000000001	1.861
80.0	0.08572	1.909
85.0	0.06872	1.9469999999999998
90.0	0.0556	1.973
95.0	0.045360000000000004	1.9869999999999999
100.0	0.03732	1.9869999999999999
105.0	0.03096	1.973
110.0	0.02588	1.945
115.0	0.02182	1.902
120.0	0.01855	1.8430000000000002
125.0	0.0159	1.768
130.0	0.01374	1.6780000000000002
132.3	0.01289	1.631
135.0	0.01198	1.5730000000000002
140.0	0.01054	1.455
145.0	0.009353	1.325
150.0	0.008375	1.187
151.4	0.008133	1.147
155.0	0.007566	1.043
160.0	0.006895999999999999	0.8956
165.0	0.006339	0.7485
170.0	0.005876	0.6046
175.0	0.005489	0.4664
180.0	0.005166	0.3363
185.0	0.004895	0.2158
190.0	0.0046689999999999995	0.1064
195.0	0.004479	0.008771
200.0	0.004321	-0.07669
205.0	0.004187	-0.1501
210.0	0.004075	-0.2118
215.0	0.003981	-0.2623
220.0	0.0039020000000000005	-0.3025
225.0	0.0038350000000000003	-0.3332
230.0	0.003779	-0.3554
235.0	0.0037310000000000004	-0.37
240.0	0.003691	-0.3779
245.0	0.0036560000000000004	-0.38
250.0	0.003626	-0.3771
255.0	0.0036	-0.3699
260.0	0.003578	-0.3589
265.0	0.003558	-0.3449
270.0	0.0035409999999999994	-0.3282
275.0	0.003525	-0.3094
280.0	0.003511	-0.2888
285.0	0.003498	-0.2667
290.0	0.003486	-0.2434
295.0	0.003475	-0.2193
300.0	0.003464	-0.1945
305.0	0.003453	-0.1693
320.0	0.0034219999999999997	-0.09236
340.0	0.003378	0.008826
360.0	0.0033299999999999996	0.105
380.0	0.003278	0.1948
400.0	0.003221	0.2778
420.0	0.0031609999999999997	0.3541
440.0	0.003098	0.4239
460.0	0.003032	0.4877
480.0	0.0029649999999999998	0.546
500.0	0.002897	0.5997
520.0	0.0028280000000000002	0.649
540.0	0.002759	0.6945
560.0	0.002689	0.7364
580.0	0.002621	0.7751
600.0	0.002553	0.8109
620.0	0.002486	0.8441
640.0	0.00242	0.875
660.0	0.002356	0.9039
680.0	0.002293	0.9308
700.0	0.002232	0.956
720.0	0.002173	0.9795
740.0	0.0021149999999999997	1.002
760.0	0.002059	1.022
780.0	0.0020039999999999997	1.042
800.0	0.0019510000000000003	1.06
850.0	0.001825	1.102
900.0	0.001709	1.137
950.0	0.0016010000000000002	1.169
1000.0	0.0015019999999999999	1.197
1041.0	0.001426	1.217
1050.0	0.00141	1.2209999999999999
1100.0	0.001326	1.242
1150.0	0.001248	1.261
1200.0	0.001175	1.278
1250.0	0.001108	1.294
1253.6	0.001104	1.295
1300.0	0.001046	1.307
1350.0	0.0009888	1.319
1400.0	0.0009354	1.33
1450.0	0.0008859	1.34
1486.6	0.0008517999999999999	1.3459999999999999
1500.0	0.0008397999999999999	1.349
