Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.025789999999999997	2
15.0	0.2234	2
16.7	0.2542	2
20.0	0.2767	2
21.2	0.2776	2
25.0	0.2686	2
26.8	0.2611	2
30.0	0.2457	2
35.0	0.2209	2
40.0	0.1979	2
40.8	0.1945	2
45.0	0.1774	2
50.0	0.1594	2
55.0	0.1435	2
60.0	0.1295	2
65.0	0.1173	2
70.0	0.1065	2
75.0	0.09705	2
80.0	0.08871	2
85.0	0.08136	2
90.0	0.07487	2
95.0	0.06913	2
100.0	0.06402000000000001	2
105.0	0.05948	2
110.0	0.055420000000000004	2
115.0	0.051770000000000004	2
120.0	0.04849	2
125.0	0.04552	2
130.0	0.04283	2
132.3	0.04167	2
135.0	0.04038	2
140.0	0.03814	2
145.0	0.0361	2
150.0	0.03422	2
151.4	0.03372	2
155.0	0.03249	2
160.0	0.030889999999999997	2
165.0	0.029419999999999998	2
170.0	0.02805	2
175.0	0.026789999999999998	2
180.0	0.02561	2
185.0	0.02451	2
190.0	0.02348	2
195.0	0.02253	2
200.0	0.02163	2
205.0	0.02079	2
210.0	0.01999	2
215.0	0.01925	2
220.0	0.01854	2
225.0	0.01788	2
230.0	0.01725	2
235.0	0.01665	2
240.0	0.01608	2
245.0	0.01554	2
250.0	0.015030000000000002	2
255.0	0.01454	2
260.0	0.01407	2
265.0	0.013619999999999998	2
270.0	0.0132	2
275.0	0.012790000000000001	2
280.0	0.01239	2
285.0	0.01202	2
290.0	0.01166	2
295.0	0.011309999999999999	2
300.0	0.01098	2
305.0	0.01066	2
320.0	0.009783	2
340.0	0.008757	2
360.0	0.007873999999999999	2
380.0	0.007112	2
400.0	0.006449	2
420.0	0.005871	2
440.0	0.005365	2
460.0	0.004919	2
480.0	0.004524	2
500.0	0.004174000000000001	2
520.0	0.0038619999999999995	2
540.0	0.003583	2
560.0	0.003331	2
580.0	0.0031030000000000003	2
600.0	0.002897	2
620.0	0.002709	2
640.0	0.002538	2
660.0	0.002381	2
680.0	0.0022370000000000003	2
700.0	0.002105	2
720.0	0.001983	2
740.0	0.001871	2
760.0	0.001768	2
780.0	0.0016719999999999999	2
800.0	0.001584	2
850.0	0.001389	2
900.0	0.0012259999999999999	2
950.0	0.0010890000000000001	2
1000.0	0.0009724	2
1041.0	0.0008891	2
1050.0	0.0008721	2
1100.0	0.0007854	2
1150.0	0.0007099999999999999	2
1200.0	0.000644	2
1250.0	0.0005861000000000001	2
1253.6	0.0005822000000000001	2
1300.0	0.000535	2
1350.0	0.0004898	2
1400.0	0.00044980000000000004	2
1450.0	0.000414	2
1486.6	0.0003903	2
1500.0	0.00038199999999999996	2
