Energy [eV]	Cross Section	Asymmetry Parameter
760.0	0.1724	2
765.0	0.1648	2
770.0	0.1605	2
775.0	0.1582	2
780.0	0.1571	2
785.0	0.1565	2
790.0	0.1561	2
795.0	0.1557	2
800.0	0.1551	2
805.0	0.1544	2
810.0	0.1533	2
815.0	0.1522	2
820.0	0.1509	2
825.0	0.1495	2
830.0	0.1481	2
835.0	0.1467	2
840.0	0.1453	2
845.0	0.14400000000000002	2
850.0	0.1428	2
855.0	0.1416	2
860.0	0.1404	2
865.0	0.1393	2
870.0	0.1382	2
875.0	0.1371	2
880.0	0.1361	2
885.0	0.135	2
890.0	0.134	2
895.0	0.1329	2
900.0	0.1319	2
905.0	0.1308	2
910.0	0.1297	2
915.0	0.1287	2
920.0	0.1276	2
925.0	0.1266	2
930.0	0.1255	2
935.0	0.1245	2
940.0	0.1235	2
945.0	0.1225	2
950.0	0.1215	2
955.0	0.1205	2
960.0	0.1195	2
965.0	0.1186	2
970.0	0.1177	2
975.0	0.1168	2
980.0	0.1159	2
985.0	0.115	2
990.0	0.1142	2
995.0	0.1133	2
1000.0	0.1124	2
1005.0	0.1116	2
1010.0	0.1108	2
1015.0	0.1099	2
1020.0	0.1091	2
1025.0	0.1083	2
1030.0	0.1075	2
1035.0	0.1067	2
1040.0	0.1059	2
1041.0	0.1057	2
1045.0	0.1051	2
1050.0	0.1043	2
1100.0	0.09682	2
1150.0	0.09018	2
1200.0	0.08411	2
1250.0	0.07856	2
1253.6	0.07818	2
1300.0	0.07353	2
1350.0	0.06895	2
1400.0	0.06473	2
1450.0	0.060860000000000004	2
1486.6	0.05823	2
1500.0	0.05731	2
