Energy [eV]	Cross Section	Asymmetry Parameter
245.0	0.2325	0.9641
250.0	0.3105	1.796
255.0	0.5534	1.885
260.0	1.138	1.453
265.0	1.91	1.005
270.0	2.58	0.706
275.0	3.103	0.5193
280.0	3.522	0.4049
285.0	3.8510000000000004	0.3368
290.0	4.096	0.2988
295.0	4.261	0.2808
300.0	4.36	0.2765
305.0	4.4110000000000005	0.2816
310.0	4.431	0.2932
315.0	4.43	0.3093
320.0	4.416	0.3286
325.0	4.395	0.35
330.0	4.367	0.3728
335.0	4.333	0.3962
340.0	4.293	0.42
345.0	4.248	0.4437
350.0	4.197	0.4672
355.0	4.141	0.4902
360.0	4.081	0.5127
365.0	4.018	0.5346
370.0	3.9530000000000003	0.5559
375.0	3.886	0.5764
380.0	3.819	0.5964
385.0	3.7510000000000003	0.6157
390.0	3.6839999999999997	0.6343
395.0	3.617	0.6524
400.0	3.551	0.6699
405.0	3.485	0.6868
410.0	3.42	0.7032
415.0	3.3560000000000003	0.7191
420.0	3.292	0.7344
425.0	3.2289999999999996	0.7493
430.0	3.1660000000000004	0.7637
435.0	3.1039999999999996	0.7776
440.0	3.042	0.7909999999999999
445.0	2.9819999999999998	0.804
450.0	2.9219999999999997	0.8166
455.0	2.863	0.8288
460.0	2.804	0.8405
465.0	2.747	0.8519
470.0	2.6910000000000003	0.8628
475.0	2.636	0.8735
480.0	2.582	0.8837
485.0	2.53	0.8937
490.0	2.478	0.9033
495.0	2.428	0.9126
500.0	2.379	0.9216
505.0	2.33	0.9303
510.0	2.283	0.9388
515.0	2.237	0.9470000000000001
520.0	2.1919999999999997	0.9549
525.0	2.148	0.9627
530.0	2.105	0.9702
535.0	2.062	0.9774
540.0	2.021	0.9845
560.0	1.864	1.011
580.0	1.7209999999999999	1.034
600.0	1.59	1.055
620.0	1.4709999999999999	1.073
640.0	1.3630000000000002	1.09
660.0	1.264	1.105
680.0	1.1740000000000002	1.1179999999999999
700.0	1.092	1.13
720.0	1.016	1.141
740.0	0.9473	1.15
760.0	0.8841	1.159
780.0	0.8262	1.166
800.0	0.7729	1.173
850.0	0.6574	1.187
900.0	0.5628	1.196
950.0	0.4849	1.203
1000.0	0.4202	1.208
1041.0	0.375	1.21
1050.0	0.3659	1.21
1100.0	0.3203	1.2109999999999999
1150.0	0.2816	1.2109999999999999
1200.0	0.2487	1.209
1250.0	0.2204	1.207
1253.6	0.2185	1.206
1300.0	0.1961	1.203
1350.0	0.1751	1.199
1400.0	0.1568	1.195
1450.0	0.1409	1.19
1486.6	0.1305	1.186
1500.0	0.1269	1.1840000000000002
