Energy [eV]	Cross Section	Asymmetry Parameter
480.0	0.1737	2
500.0	0.1591	2
520.0	0.1541	2
540.0	0.1484	2
560.0	0.1418	2
580.0	0.1357	2
600.0	0.1303	2
620.0	0.1251	2
640.0	0.1201	2
660.0	0.1153	2
680.0	0.1107	2
700.0	0.1065	2
720.0	0.1025	2
740.0	0.09869	2
760.0	0.09505	2
780.0	0.09158999999999999	2
800.0	0.08831	2
850.0	0.08084	2
900.0	0.07425	2
950.0	0.06838	2
1000.0	0.06318	2
1041.0	0.059329999999999994	2
1050.0	0.05853	2
1100.0	0.054360000000000006	2
1150.0	0.05061	2
1200.0	0.04724	2
1250.0	0.044180000000000004	2
1253.6	0.04397	2
1300.0	0.0414	2
1350.0	0.03888	2
1400.0	0.03657	2
1450.0	0.03447	2
1486.6	0.033030000000000004	2
1500.0	0.03253	2
