Energy [eV]	Cross Section	Asymmetry Parameter
45.0	4.544	1.865
50.0	3.0580000000000003	1.9709999999999999
55.0	2.0380000000000003	1.804
60.0	1.395	1.5030000000000001
65.0	1.002	1.113
70.0	0.7655	0.6981
75.0	0.624	0.3289
80.0	0.5391	0.05462
85.0	0.4876	-0.1117
90.0	0.4562	-0.1838
95.0	0.4369	-0.1854
100.0	0.4249	-0.14
105.0	0.4173	-0.0662
110.0	0.4123	0.02271
115.0	0.4087	0.1177
120.0	0.4058	0.2131
125.0	0.4031	0.3054
130.0	0.4003	0.3927
132.3	0.3989	0.4309
135.0	0.3972	0.474
140.0	0.3937	0.5492
145.0	0.3899	0.6182
150.0	0.3857	0.6816
151.4	0.3845	0.6983
155.0	0.3813	0.7396
160.0	0.3766	0.7929
165.0	0.3716	0.8419
170.0	0.3665	0.8871
175.0	0.3612	0.9289
180.0	0.3558	0.9677
185.0	0.3503	1.004
190.0	0.3448	1.037
195.0	0.3392	1.069
200.0	0.3335	1.0979999999999999
205.0	0.3279	1.126
210.0	0.3222	1.151
215.0	0.3166	1.176
220.0	0.3109	1.198
225.0	0.3053	1.22
230.0	0.2998	1.24
235.0	0.2943	1.2590000000000001
240.0	0.2889	1.2770000000000001
245.0	0.2836	1.294
250.0	0.2784	1.31
255.0	0.2732	1.325
260.0	0.2682	1.34
265.0	0.2632	1.3530000000000002
270.0	0.2584	1.3659999999999999
275.0	0.2536	1.3780000000000001
280.0	0.249	1.39
285.0	0.2444	1.401
290.0	0.24	1.412
295.0	0.2356	1.422
300.0	0.2314	1.431
305.0	0.2272	1.4409999999999998
310.0	0.2231	1.449
315.0	0.2191	1.4580000000000002
320.0	0.2152	1.466
325.0	0.2114	1.474
330.0	0.2076	1.4809999999999999
335.0	0.204	1.489
340.0	0.2004	1.495
360.0	0.1868	1.52
380.0	0.1745	1.5419999999999998
400.0	0.1632	1.56
420.0	0.1529	1.5759999999999998
440.0	0.1435	1.589
460.0	0.1348	1.601
480.0	0.1269	1.6119999999999999
500.0	0.1196	1.621
520.0	0.1128	1.629
540.0	0.1066	1.636
560.0	0.1009	1.642
580.0	0.09555	1.6469999999999998
600.0	0.09062	1.652
620.0	0.08603999999999999	1.656
640.0	0.08177999999999999	1.659
660.0	0.07781	1.663
680.0	0.07411000000000001	1.665
700.0	0.07065	1.6669999999999998
720.0	0.06742000000000001	1.669
740.0	0.0644	1.671
760.0	0.06157000000000001	1.672
780.0	0.0589	1.673
800.0	0.0564	1.6740000000000002
850.0	0.05076	1.675
900.0	0.045880000000000004	1.675
950.0	0.04165	1.675
1000.0	0.037939999999999995	1.673
1041.0	0.035230000000000004	1.672
1050.0	0.03468	1.671
1100.0	0.03179	1.669
1150.0	0.029230000000000003	1.666
1200.0	0.02695	1.663
1250.0	0.0249	1.659
1253.6	0.02476	1.659
1300.0	0.02307	1.656
1350.0	0.02141	1.652
1400.0	0.01991	1.6480000000000001
1450.0	0.01856	1.6440000000000001
1486.6	0.01764	1.641
1500.0	0.01732	1.64
