Energy [eV]	Cross Section	Asymmetry Parameter
16.7	11.25	0.8047
20.0	10.1	1.0170000000000001
21.2	9.664	1.071
25.0	8.339	1.198
26.8	7.7589999999999995	1.242
30.0	6.81	1.304
35.0	5.534	1.3730000000000002
40.0	4.485	1.42
40.8	4.336	1.426
45.0	3.634	1.452
50.0	2.951	1.475
55.0	2.407	1.492
60.0	1.975	1.5030000000000001
65.0	1.633	1.51
70.0	1.36	1.5130000000000001
75.0	1.1420000000000001	1.515
80.0	0.9670000000000001	1.514
85.0	0.8248	1.511
90.0	0.7085	1.507
95.0	0.6128	1.5019999999999998
100.0	0.5333	1.495
105.0	0.4668	1.4880000000000002
110.0	0.4107	1.48
115.0	0.3631	1.4709999999999999
120.0	0.3225	1.462
125.0	0.2876	1.452
130.0	0.2574	1.442
132.3	0.2449	1.4369999999999998
135.0	0.2312	1.431
140.0	0.2083	1.421
145.0	0.1883	1.41
150.0	0.1706	1.399
151.4	0.1661	1.396
155.0	0.155	1.3880000000000001
160.0	0.1412	1.376
165.0	0.1289	1.365
170.0	0.1179	1.354
175.0	0.1081	1.3430000000000002
180.0	0.09933	1.3319999999999999
185.0	0.09144	1.321
190.0	0.08432	1.31
195.0	0.07791000000000001	1.3
200.0	0.07211000000000001	1.2890000000000001
205.0	0.06685	1.2790000000000001
210.0	0.062079999999999996	1.268
215.0	0.05774	1.258
220.0	0.05379	1.248
225.0	0.05018	1.239
230.0	0.04688	1.229
235.0	0.04387	1.219
240.0	0.0411	1.21
245.0	0.03855	1.2009999999999998
250.0	0.03621	1.192
255.0	0.03406	1.183
260.0	0.03207	1.1740000000000002
265.0	0.03023	1.165
270.0	0.02853	1.156
275.0	0.02695	1.148
280.0	0.025480000000000003	1.14
285.0	0.02412	1.131
290.0	0.02285	1.123
295.0	0.02166	1.115
300.0	0.02056	1.107
305.0	0.019530000000000002	1.099
310.0	0.01856	1.091
320.0	0.01681	1.0759999999999998
340.0	0.013890000000000001	1.046
360.0	0.011590000000000001	1.018
380.0	0.009758	0.9913
400.0	0.008274	0.9657
420.0	0.007063	0.9414
440.0	0.006067	0.9183
460.0	0.005242	0.8963
480.0	0.004554	0.8754
500.0	0.0039759999999999995	0.8555
520.0	0.0034869999999999996	0.8365
540.0	0.003072	0.8182
560.0	0.0027170000000000002	0.8008
580.0	0.0024129999999999998	0.7841
600.0	0.00215	0.7681
620.0	0.0019219999999999999	0.7528
640.0	0.0017239999999999998	0.7382
660.0	0.001551	0.7243
680.0	0.0014	0.7111
700.0	0.001267	0.6985
720.0	0.00115	0.6866
740.0	0.001046	0.6753
760.0	0.0009542	0.6647
780.0	0.0008725	0.6544
800.0	0.0007996	0.6447
850.0	0.0006487999999999999	0.6221
900.0	0.0005325	0.6013
950.0	0.00044130000000000005	0.5818
1000.0	0.00036869999999999996	0.5632
1041.0	0.00031989999999999997	0.5484
1050.0	0.0003103	0.5453
1100.0	0.00026289999999999994	0.5281
1150.0	0.0002241	0.5116
1200.0	0.0001921	0.4961
1250.0	0.0001655	0.4813
1253.6	0.00016380000000000002	0.4802
1300.0	0.00014340000000000002	0.4675
1350.0	0.0001248	0.4547
1400.0	0.0001091	0.4428
1450.0	9.586e-05	0.4319
1486.6	8.742e-05	0.4246
1500.0	8.457e-05	0.4219
