Energy [eV]	Cross Section	Asymmetry Parameter
25.0	0.7963	2
26.86	0.9012	2
30.0	1.016	2
35.0	1.089	2
40.0	1.09	2
40.81	1.0859999999999999	2
45.0	1.055	2
50.0	1.002	2
55.0	0.9429	2
60.0	0.8812	2
65.0	0.8201	2
70.0	0.7613	2
75.0	0.7055	2
80.0	0.6533	2
85.0	0.6047	2
90.0	0.5599	2
95.0	0.5186	2
100.0	0.4808	2
105.0	0.4463	2
110.0	0.4147	2
115.0	0.3859	2
120.0	0.3596	2
125.0	0.3357	2
130.0	0.3138	2
132.3	0.3044	2
135.0	0.2938	2
140.0	0.2755	2
145.0	0.2587	2
150.0	0.2433	2
151.4	0.2393	2
155.0	0.2292	2
160.0	0.2162	2
165.0	0.2041	2
170.0	0.193	2
175.0	0.1827	2
180.0	0.1732	2
185.0	0.1643	2
190.0	0.1561	2
195.0	0.1484	2
200.0	0.1412	2
205.0	0.1344	2
210.0	0.1282	2
215.0	0.1222	2
220.0	0.1167	2
225.0	0.1115	2
230.0	0.1066	2
235.0	0.102	2
240.0	0.0976	2
245.0	0.09349	2
250.0	0.08961000000000001	2
255.0	0.08595	2
260.0	0.08248	2
265.0	0.0792	2
270.0	0.0761	2
275.0	0.07316	2
280.0	0.07037	2
285.0	0.06773	2
290.0	0.06522	2
295.0	0.06284	2
300.0	0.060570000000000006	2
305.0	0.05842000000000001	2
310.0	0.05637999999999999	2
315.0	0.05442999999999999	2
320.0	0.052570000000000006	2
340.0	0.04598	2
360.0	0.04049	2
380.0	0.03587	2
400.0	0.03196	2
420.0	0.0286	2
440.0	0.025710000000000004	2
460.0	0.0232	2
480.0	0.021	2
500.0	0.01907	2
520.0	0.01737	2
540.0	0.01587	2
560.0	0.014530000000000001	2
580.0	0.01335	2
600.0	0.01229	2
620.0	0.011340000000000001	2
640.0	0.01048	2
660.0	0.009715000000000001	2
680.0	0.009021	2
700.0	0.008392	2
720.0	0.007821	2
740.0	0.007301	2
760.0	0.0068260000000000005	2
780.0	0.006392	2
800.0	0.005994	2
850.0	0.005136	2
900.0	0.004438	2
950.0	0.0038619999999999995	2
1000.0	0.0033840000000000003	2
1041.0	0.0030510000000000003	2
1050.0	0.002983	2
1100.0	0.002643	2
1150.0	0.002353	2
1200.0	0.0021030000000000003	2
1250.0	0.001887	2
1253.6	0.001873	2
1300.0	0.0017	2
1350.0	0.001536	2
1400.0	0.001393	2
1450.0	0.001266	2
1486.6	0.001184	2
1500.0	0.001155	2
