Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.1139	2
15.0	0.1276	2
16.7	0.1213	2
20.0	0.1066	2
21.2	0.1013	2
25.0	0.08615	2
26.8	0.07994	2
30.0	0.07034	2
35.0	0.058460000000000005	2
40.0	0.049460000000000004	2
40.8	0.04823	2
45.0	0.04252	2
50.0	0.03706	2
55.0	0.03269	2
60.0	0.02914	2
65.0	0.02621	2
70.0	0.02377	2
75.0	0.02169	2
80.0	0.01992	2
85.0	0.01839	2
90.0	0.01705	2
95.0	0.015880000000000002	2
100.0	0.01484	2
105.0	0.013909999999999999	2
110.0	0.013069999999999998	2
115.0	0.012320000000000001	2
120.0	0.01163	2
125.0	0.011000000000000001	2
130.0	0.01043	2
132.3	0.01018	2
135.0	0.009897	2
140.0	0.009405	2
145.0	0.008948999999999999	2
150.0	0.008524	2
151.4	0.008409999999999999	2
155.0	0.008126999999999999	2
160.0	0.007756	2
165.0	0.0074069999999999995	2
170.0	0.0070799999999999995	2
175.0	0.006773	2
180.0	0.006483	2
185.0	0.006209	2
190.0	0.005951	2
195.0	0.005707	2
200.0	0.005476	2
205.0	0.005258	2
210.0	0.005051	2
215.0	0.004855	2
220.0	0.0046689999999999995	2
225.0	0.004493	2
230.0	0.004326	2
235.0	0.0041670000000000006	2
240.0	0.0040149999999999995	2
245.0	0.003872	2
250.0	0.003735	2
255.0	0.0036049999999999997	2
260.0	0.003481	2
265.0	0.0033640000000000002	2
270.0	0.003251	2
275.0	0.003144	2
280.0	0.003042	2
285.0	0.002944	2
290.0	0.0028510000000000002	2
295.0	0.002761	2
300.0	0.002676	2
305.0	0.002595	2
320.0	0.00237	2
340.0	0.002111	2
360.0	0.001891	2
380.0	0.001703	2
400.0	0.0015400000000000001	2
420.0	0.001399	2
440.0	0.001276	2
460.0	0.001168	2
480.0	0.001073	2
500.0	0.000989	2
520.0	0.0009142000000000001	2
540.0	0.0008474	2
560.0	0.0007874	2
580.0	0.0007332	2
600.0	0.0006841	2
620.0	0.0006394	2
640.0	0.0005986	2
660.0	0.0005612	2
680.0	0.0005269	2
700.0	0.0004954	2
720.0	0.0004663	2
740.0	0.00043949999999999995	2
760.0	0.0004146	2
780.0	0.00039160000000000003	2
800.0	0.00037030000000000006	2
850.0	0.0003235	2
900.0	0.00028429999999999997	2
950.0	0.0002513	2
1000.0	0.0002234	2
1041.0	0.0002035	2
1050.0	0.0001995	2
1100.0	0.0001791	2
1150.0	0.00016140000000000002	2
1200.0	0.00014609999999999997	2
1250.0	0.0001328	2
1253.6	0.0001319	2
1300.0	0.000121	2
1350.0	0.00011059999999999999	2
1400.0	0.0001014	2
1450.0	9.318e-05	2
1486.6	8.77e-05	2
1500.0	8.582e-05	2
