Energy [eV]	Cross Section	Asymmetry Parameter
220.0	0.2725	1.163
225.0	0.3894	1.85
230.0	0.7528	1.7619999999999998
235.0	1.462	1.245
240.0	2.206	0.8325
245.0	2.806	0.5753
250.0	3.292	0.4213
255.0	3.6919999999999997	0.3313
260.0	4.008	0.2816
265.0	4.238	0.2577
270.0	4.391	0.251
275.0	4.484	0.2556
280.0	4.5360000000000005	0.268
285.0	4.561	0.2857
290.0	4.569	0.3069
295.0	4.565	0.3305
300.0	4.552	0.3555
305.0	4.531000000000001	0.3812
310.0	4.5	0.4072
315.0	4.461	0.4329
320.0	4.414	0.4583
325.0	4.359	0.483
330.0	4.2989999999999995	0.5071
335.0	4.234	0.5304
340.0	4.165	0.5529
345.0	4.095	0.5747
350.0	4.023	0.5957
355.0	3.951	0.616
360.0	3.8789999999999996	0.6356
365.0	3.8080000000000003	0.6545
370.0	3.737	0.6728
375.0	3.6660000000000004	0.6905
380.0	3.596	0.7075
385.0	3.525	0.7241
390.0	3.4560000000000004	0.74
395.0	3.386	0.7554
400.0	3.3169999999999997	0.7703
405.0	3.2489999999999997	0.7847
410.0	3.181	0.7985
415.0	3.114	0.8119
420.0	3.0469999999999997	0.8248
425.0	2.9819999999999998	0.8373
430.0	2.918	0.8492
435.0	2.855	0.8608
440.0	2.7939999999999996	0.872
445.0	2.734	0.8828
450.0	2.675	0.8932
455.0	2.6180000000000003	0.9032
460.0	2.562	0.9129
465.0	2.5069999999999997	0.9223
470.0	2.4530000000000003	0.9314
475.0	2.401	0.9402
480.0	2.35	0.9487
485.0	2.3	0.9570000000000001
490.0	2.251	0.965
495.0	2.2030000000000003	0.9728
500.0	2.156	0.9803
505.0	2.11	0.9876
510.0	2.066	0.9947
515.0	2.022	1.002
520.0	1.979	1.008
540.0	1.818	1.033
560.0	1.672	1.055
580.0	1.54	1.074
600.0	1.42	1.091
620.0	1.3119999999999998	1.107
640.0	1.213	1.12
660.0	1.123	1.1320000000000001
680.0	1.041	1.143
700.0	0.9671	1.153
720.0	0.8993	1.162
740.0	0.8375	1.169
760.0	0.7809	1.176
780.0	0.7290000000000001	1.182
800.0	0.6813	1.187
850.0	0.5782	1.197
900.0	0.4942	1.204
950.0	0.425	1.209
1000.0	0.3676	1.2109999999999999
1041.0	0.3277	1.2109999999999999
1050.0	0.3196	1.2109999999999999
1100.0	0.2794	1.2109999999999999
1150.0	0.2453	1.208
1200.0	0.2162	1.205
1250.0	0.1914	1.202
1253.6	0.1898	1.2009999999999998
1300.0	0.1701	1.197
1350.0	0.1517	1.192
1400.0	0.1357	1.187
1450.0	0.1217	1.181
1486.6	0.1127	1.176
1500.0	0.1096	1.1740000000000002
