Energy [eV]	Cross Section	Asymmetry Parameter
40.0	6.325	1.754
45.0	4.012	1.9969999999999999
50.0	2.5469999999999997	1.882
55.0	1.669	1.621
60.0	1.149	1.253
65.0	0.8449	0.8333
70.0	0.6663	0.4382
75.0	0.5607	0.1285
80.0	0.4974	-0.07113
85.0	0.4588	-0.168
90.0	0.4351	-0.1851
95.0	0.4202	-0.1475
100.0	0.4108	-0.07608
105.0	0.4045	0.01355
110.0	0.4	0.1109
115.0	0.3963	0.2091
120.0	0.3929	0.3041
125.0	0.3895	0.3938
130.0	0.3859	0.4771
132.3	0.3841	0.5131
135.0	0.3819	0.5537
140.0	0.3777	0.6239
145.0	0.3731	0.6881
150.0	0.3683	0.7468
151.4	0.3669	0.7624
155.0	0.3632	0.8006
160.0	0.358	0.8501
165.0	0.3526	0.8957
170.0	0.3471	0.9379
175.0	0.3415	0.977
180.0	0.3359	1.013
185.0	0.3301	1.047
190.0	0.3244	1.079
195.0	0.3186	1.109
200.0	0.3128	1.136
205.0	0.307	1.162
210.0	0.3013	1.187
215.0	0.2956	1.209
220.0	0.2899	1.2309999999999999
225.0	0.2843	1.251
230.0	0.2789	1.27
235.0	0.2735	1.288
240.0	0.2682	1.305
245.0	0.263	1.32
250.0	0.2579	1.335
255.0	0.2529	1.35
260.0	0.2481	1.3630000000000002
265.0	0.2433	1.376
270.0	0.2387	1.3880000000000001
275.0	0.2341	1.399
280.0	0.2297	1.41
285.0	0.2254	1.421
290.0	0.2211	1.43
295.0	0.217	1.44
300.0	0.2129	1.449
305.0	0.209	1.4580000000000002
310.0	0.2051	1.466
315.0	0.2013	1.474
320.0	0.1976	1.482
325.0	0.19399999999999998	1.489
330.0	0.1904	1.496
335.0	0.187	1.5030000000000001
340.0	0.1836	1.51
360.0	0.1709	1.5330000000000001
380.0	0.1593	1.5530000000000002
400.0	0.1489	1.57
420.0	0.1393	1.584
440.0	0.1306	1.597
460.0	0.1226	1.608
480.0	0.1153	1.618
500.0	0.1085	1.626
520.0	0.1023	1.6340000000000001
540.0	0.09664	1.64
560.0	0.09139	1.645
580.0	0.08653	1.65
600.0	0.08202999999999999	1.6540000000000001
620.0	0.07783999999999999	1.6580000000000001
640.0	0.07395	1.661
660.0	0.07032999999999999	1.6640000000000001
680.0	0.06696	1.666
700.0	0.06382	1.6680000000000001
720.0	0.06088	1.67
740.0	0.058129999999999994	1.671
760.0	0.055560000000000005	1.672
780.0	0.05314	1.673
800.0	0.05086	1.673
850.0	0.045739999999999996	1.6740000000000002
900.0	0.04131	1.673
950.0	0.037469999999999996	1.672
1000.0	0.03411	1.67
1041.0	0.03166	1.6680000000000001
1050.0	0.03115	1.6680000000000001
1100.0	0.02854	1.665
1150.0	0.02622	1.662
1200.0	0.02416	1.6580000000000001
1250.0	0.02231	1.6540000000000001
1253.6	0.022180000000000002	1.6540000000000001
1300.0	0.02065	1.65
1350.0	0.01915	1.646
1400.0	0.0178	1.642
1450.0	0.016569999999999998	1.6380000000000001
1486.6	0.01575	1.6340000000000001
1500.0	0.01546	1.633
