Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.02288	2
15.0	0.05732999999999999	2
16.7	0.06056	2
20.0	0.061489999999999996	2
21.2	0.06092	2
25.0	0.057870000000000005	2
26.8	0.056139999999999995	2
30.0	0.05304	2
35.0	0.04846	2
40.0	0.04435	2
40.8	0.04374	2
45.0	0.04068	2
50.0	0.037380000000000004	2
55.0	0.03439	2
60.0	0.03166	2
65.0	0.02918	2
70.0	0.026910000000000003	2
75.0	0.02485	2
80.0	0.02298	2
85.0	0.02128	2
90.0	0.01976	2
95.0	0.01838	2
100.0	0.017130000000000003	2
105.0	0.01601	2
110.0	0.01499	2
115.0	0.01407	2
120.0	0.01323	2
125.0	0.01247	2
130.0	0.01178	2
132.3	0.011479999999999999	2
135.0	0.01114	2
140.0	0.01056	2
145.0	0.010020000000000001	2
150.0	0.009528	2
151.4	0.009396999999999999	2
155.0	0.009073000000000001	2
160.0	0.008652	2
165.0	0.008263	2
170.0	0.007902	2
175.0	0.007567	2
180.0	0.007256	2
185.0	0.006966	2
190.0	0.006695	2
195.0	0.006442	2
200.0	0.006205	2
205.0	0.005982	2
210.0	0.0057729999999999995	2
215.0	0.005576	2
220.0	0.005389	2
225.0	0.005213000000000001	2
230.0	0.005045	2
235.0	0.004886	2
240.0	0.0047350000000000005	2
245.0	0.0045899999999999995	2
250.0	0.004452	2
255.0	0.00432	2
260.0	0.004194	2
265.0	0.004072999999999999	2
270.0	0.003956	2
275.0	0.0038450000000000003	2
280.0	0.0037380000000000004	2
285.0	0.0036340000000000005	2
290.0	0.003535	2
295.0	0.00344	2
300.0	0.003348	2
305.0	0.0032600000000000003	2
320.0	0.003015	2
340.0	0.002728	2
360.0	0.0024809999999999997	2
380.0	0.0022660000000000002	2
400.0	0.002079	2
420.0	0.0019149999999999998	2
440.0	0.001771	2
460.0	0.001644	2
480.0	0.001531	2
500.0	0.001431	2
520.0	0.00134	2
540.0	0.001258	2
560.0	0.001183	2
580.0	0.001115	2
600.0	0.001052	2
620.0	0.0009939999999999999	2
640.0	0.0009408	2
660.0	0.0008916999999999999	2
680.0	0.0008464000000000001	2
700.0	0.0008045	2
720.0	0.0007657	2
740.0	0.0007297	2
760.0	0.0006963	2
780.0	0.0006653	2
800.0	0.0006364	2
850.0	0.0005724	2
900.0	0.0005181	2
950.0	0.00047119999999999996	2
1000.0	0.00043039999999999994	2
1041.0	0.0004007	2
1050.0	0.0003946	2
1100.0	0.000363	2
1150.0	0.00033510000000000007	2
1200.0	0.0003103	2
1250.0	0.0002883	2
1253.6	0.00028680000000000003	2
1300.0	0.0002686	2
1350.0	0.000251	2
1400.0	0.00023500000000000002	2
1450.0	0.0002206	2
1486.6	0.0002108	2
1500.0	0.0002073	2
