Energy [eV]	Cross Section	Asymmetry Parameter
60.0	0.3436	2
80.0	0.2893	2
100.0	0.2319	2
120.0	0.1886	2
132.3	0.1671	2
140.0	0.1552	2
151.4	0.1399	2
160.0	0.1298	2
180.0	0.1104	2
200.0	0.09495	2
220.0	0.0826	2
240.0	0.07263	2
260.0	0.06444	2
280.0	0.0576	2
300.0	0.051829999999999994	2
320.0	0.04693	2
340.0	0.04272	2
360.0	0.039080000000000004	2
380.0	0.035910000000000004	2
400.0	0.03311	2
420.0	0.03065	2
440.0	0.02847	2
460.0	0.02652	2
480.0	0.02477	2
500.0	0.023190000000000002	2
520.0	0.021759999999999998	2
540.0	0.02047	2
560.0	0.0193	2
580.0	0.01822	2
600.0	0.017240000000000002	2
620.0	0.01633	2
640.0	0.0155	2
660.0	0.014730000000000002	2
680.0	0.01402	2
700.0	0.013359999999999999	2
720.0	0.012740000000000001	2
740.0	0.01217	2
760.0	0.011640000000000001	2
780.0	0.01114	2
800.0	0.01068	2
850.0	0.009633	2
900.0	0.008738	2
950.0	0.007963	2
1000.0	0.007289	2
1041.0	0.006797	2
1050.0	0.006696	2
1100.0	0.006174	2
1150.0	0.00571	2
1200.0	0.005297	2
1250.0	0.004928	2
1253.6	0.004903	2
1300.0	0.004596	2
1350.0	0.004297	2
1400.0	0.004025	2
1450.0	0.003779	2
1486.6	0.0036130000000000003	2
1500.0	0.0035549999999999996	2
