Energy [eV]	Cross Section	Asymmetry Parameter
990.0	0.1434	2
995.0	0.1357	2
1000.0	0.1309	2
1005.0	0.1279	2
1010.0	0.1263	2
1015.0	0.1254	2
1020.0	0.1249	2
1025.0	0.1246	2
1030.0	0.1244	2
1035.0	0.1242	2
1040.0	0.1239	2
1041.0	0.1238	2
1045.0	0.1235	2
1050.0	0.1229	2
1055.0	0.1223	2
1060.0	0.1215	2
1065.0	0.1207	2
1070.0	0.1199	2
1075.0	0.11900000000000001	2
1080.0	0.1181	2
1085.0	0.1172	2
1090.0	0.1164	2
1095.0	0.1156	2
1100.0	0.1148	2
1105.0	0.114	2
1110.0	0.1133	2
1115.0	0.1126	2
1120.0	0.1118	2
1125.0	0.1112	2
1130.0	0.1105	2
1135.0	0.1098	2
1140.0	0.1091	2
1145.0	0.1085	2
1150.0	0.1078	2
1155.0	0.1071	2
1160.0	0.1064	2
1165.0	0.1058	2
1170.0	0.1051	2
1175.0	0.1044	2
1180.0	0.1037	2
1185.0	0.10300000000000001	2
1190.0	0.1024	2
1195.0	0.1017	2
1200.0	0.10099999999999999	2
1205.0	0.1003	2
1210.0	0.0997	2
1215.0	0.09905	2
1220.0	0.09841	2
1225.0	0.09777999999999999	2
1230.0	0.09716	2
1235.0	0.09655	2
1240.0	0.09595	2
1245.0	0.09536	2
1250.0	0.09477000000000001	2
1253.6	0.09436	2
1255.0	0.0942	2
1260.0	0.09362000000000001	2
1265.0	0.09306	2
1270.0	0.0925	2
1275.0	0.09194	2
1280.0	0.09139	2
1285.0	0.09084	2
1300.0	0.08922000000000001	2
1350.0	0.08399	2
1400.0	0.07917	2
1450.0	0.07479	2
1486.6	0.07178999999999999	2
1500.0	0.07073	2
