Energy [eV]	Cross Section	Asymmetry Parameter
285.0	0.2632	-0.8590000000000001
290.0	0.2725	-0.8964
295.0	0.2772	-0.7653
300.0	0.278	-0.6298
305.0	0.2775	-0.5099
310.0	0.2769	-0.4032
315.0	0.2767	-0.305
320.0	0.2768	-0.2127
325.0	0.2771	-0.1257
330.0	0.2772	-0.04428
335.0	0.2772	0.0309
340.0	0.2769	0.09967000000000001
345.0	0.2765	0.1623
350.0	0.2759	0.2195
355.0	0.2752	0.272
360.0	0.2744	0.3208
365.0	0.2737	0.3664
370.0	0.2728	0.4096
375.0	0.272	0.4505
380.0	0.271	0.4894
385.0	0.27	0.5265
390.0	0.2689	0.5617
395.0	0.2678	0.595
400.0	0.2665	0.6265
405.0	0.2652	0.6563
410.0	0.2639	0.6845
415.0	0.2625	0.7111
420.0	0.2611	0.7363
425.0	0.2597	0.7604
430.0	0.2582	0.7833
435.0	0.2568	0.8053
440.0	0.2553	0.8264
445.0	0.2538	0.8468
450.0	0.2523	0.8664
455.0	0.2508	0.8853
460.0	0.2492	0.9036
465.0	0.2476	0.9212
470.0	0.24600000000000002	0.9382
475.0	0.2444	0.9545
480.0	0.2427	0.9702
485.0	0.2411	0.9854
490.0	0.2394	0.9999
495.0	0.2378	1.014
500.0	0.2361	1.0270000000000001
505.0	0.2345	1.041
510.0	0.2328	1.053
515.0	0.2312	1.065
520.0	0.2295	1.077
525.0	0.2279	1.089
530.0	0.2262	1.1
535.0	0.2246	1.111
540.0	0.223	1.121
545.0	0.2214	1.131
550.0	0.2197	1.1420000000000001
555.0	0.2181	1.151
560.0	0.2165	1.161
565.0	0.2149	1.17
570.0	0.2133	1.179
575.0	0.2117	1.188
580.0	0.2101	1.196
600.0	0.2038	1.228
620.0	0.1977	1.256
640.0	0.1918	1.2819999999999998
660.0	0.1861	1.306
680.0	0.1806	1.328
700.0	0.1752	1.349
720.0	0.17	1.367
740.0	0.165	1.3840000000000001
760.0	0.1602	1.4
780.0	0.1556	1.415
800.0	0.1511	1.429
850.0	0.1406	1.46
900.0	0.1311	1.4869999999999999
950.0	0.1225	1.51
1000.0	0.1146	1.53
1041.0	0.1087	1.545
1050.0	0.1074	1.548
1100.0	0.1008	1.5630000000000002
1150.0	0.09484	1.577
1200.0	0.08934	1.589
1250.0	0.08428	1.6
1253.6	0.08392999999999999	1.601
1300.0	0.07962999999999999	1.61
1350.0	0.07535	1.619
1400.0	0.07138	1.6269999999999998
1450.0	0.06771	1.6340000000000001
1486.6	0.06521	1.639
1500.0	0.06432	1.641
