Energy [eV]	Cross Section	Asymmetry Parameter
20.0	0.54	1.16
21.22	0.589	1.538
25.0	0.9526	1.923
26.86	1.284	1.775
30.0	2.105	1.412
35.0	3.93	0.9496
40.0	5.926	0.682
40.81	6.239	0.6515
45.0	7.774	0.5319
50.0	9.316	0.4467
55.0	10.35	0.3993
60.0	10.76	0.3757
65.0	10.6	0.3687
70.0	10.06	0.3738
75.0	9.299	0.3883
80.0	8.416	0.41
85.0	7.472	0.4376
90.0	6.515	0.4698
95.0	5.591	0.5061
100.0	4.734	0.546
105.0	3.967	0.5893
110.0	3.295	0.6361
115.0	2.716	0.6865
120.0	2.224	0.7407
125.0	1.808	0.7989
130.0	1.4609999999999999	0.8615
132.3	1.321	0.8918
135.0	1.172	0.9288
140.0	0.9351	1.001
145.0	0.7413	1.079
150.0	0.584	1.163
151.4	0.5457	1.187
155.0	0.4571	1.253
160.0	0.3553	1.349
165.0	0.2741	1.4509999999999998
170.0	0.2098	1.558
175.0	0.1594	1.6640000000000001
180.0	0.1203	1.7619999999999998
185.0	0.09046	1.838
190.0	0.06812	1.865
195.0	0.05186	1.805
200.0	0.040510000000000004	1.611
205.0	0.03312	1.25
210.0	0.02888	0.7425
215.0	0.027139999999999997	0.1802
220.0	0.02737	-0.3174
225.0	0.02913	-0.6754
230.0	0.03207	-0.8859
235.0	0.0359	-0.9805
240.0	0.04038	-0.9979
245.0	0.04531	-0.9694
250.0	0.05055	-0.9159
255.0	0.05596	-0.8504
260.0	0.061439999999999995	-0.7805
265.0	0.06691	-0.7103
270.0	0.07231	-0.6421
275.0	0.0776	-0.5770000000000001
280.0	0.08273	-0.5155
285.0	0.08767	-0.4577
290.0	0.09241	-0.4035
295.0	0.09693	-0.3527
300.0	0.1012	-0.3051
305.0	0.1053	-0.2604
310.0	0.1091	-0.2185
315.0	0.1127	-0.1791
320.0	0.11599999999999999	-0.1419
340.0	0.127	-0.01231
360.0	0.1346	0.09368
380.0	0.1395	0.1826
400.0	0.142	0.2588
420.0	0.1427	0.3249
440.0	0.1419	0.3831
460.0	0.1401	0.4349
480.0	0.1374	0.4814
500.0	0.134	0.5234
520.0	0.1303	0.5617
540.0	0.1262	0.5966
560.0	0.122	0.6286
580.0	0.1176	0.6581
600.0	0.1132	0.6854
620.0	0.1089	0.7107
640.0	0.1046	0.7342
660.0	0.1003	0.7561
680.0	0.09621	0.7765
700.0	0.09222000000000001	0.7955
720.0	0.08837	0.8134
740.0	0.08465	0.8301
760.0	0.08108	0.8458
780.0	0.07765	0.8605
800.0	0.07436	0.8744
850.0	0.06677000000000001	0.9056
900.0	0.06	0.9325
950.0	0.054000000000000006	0.9559
1000.0	0.04868	0.9762
1041.0	0.04477	0.9908
1050.0	0.04396	0.9938
1100.0	0.03978	1.0090000000000001
1150.0	0.03606	1.023
1200.0	0.032760000000000004	1.034
1250.0	0.02982	1.045
1253.6	0.02962	1.045
1300.0	0.0272	1.054
1350.0	0.02485	1.061
1400.0	0.02276	1.068
1450.0	0.02087	1.074
1486.6	0.01962	1.078
1500.0	0.019180000000000003	1.079
