Energy [eV]	Cross Section	Asymmetry Parameter
80.0	0.5626	0.3639
85.0	0.631	0.5589999999999999
90.0	0.6361	0.8401
95.0	0.633	1.176
100.0	0.6536	1.479
105.0	0.718	1.6480000000000001
110.0	0.8271	1.6369999999999998
115.0	0.976	1.505
120.0	1.159	1.327
125.0	1.3730000000000002	1.145
130.0	1.614	0.9803
132.3	1.734	0.9122
135.0	1.88	0.8387
140.0	2.165	0.72
145.0	2.464	0.6219
150.0	2.7680000000000002	0.5416
151.4	2.853	0.522
155.0	3.07	0.4764
160.0	3.363	0.4237
165.0	3.642	0.3815
170.0	3.906	0.3481
175.0	4.151	0.3219
180.0	4.379	0.3018
185.0	4.59	0.2867
190.0	4.783	0.2757
195.0	4.961	0.2681
200.0	5.122000000000001	0.2633
205.0	5.266	0.2609
210.0	5.394	0.2604
215.0	5.505	0.2614
220.0	5.599	0.2639
225.0	5.6770000000000005	0.2675
230.0	5.739	0.272
235.0	5.787999999999999	0.2773
240.0	5.824	0.2833
245.0	5.848	0.2899
250.0	5.861000000000001	0.2969
255.0	5.8660000000000005	0.3044
260.0	5.862	0.3122
265.0	5.851	0.3203
270.0	5.832999999999999	0.3286
275.0	5.809	0.3371
280.0	5.779	0.3457
285.0	5.744	0.3544
290.0	5.704	0.3632
295.0	5.659	0.37200000000000005
300.0	5.61	0.3809
305.0	5.557	0.3897
310.0	5.501	0.3985
315.0	5.442	0.4073
320.0	5.38	0.4161
325.0	5.316	0.4248
330.0	5.25	0.4334
335.0	5.182	0.442
340.0	5.113	0.4505
345.0	5.043	0.4589
350.0	4.973	0.4673
355.0	4.902	0.4756
360.0	4.831	0.4838
365.0	4.7589999999999995	0.4919
370.0	4.688	0.5
375.0	4.6160000000000005	0.5079
380.0	4.545	0.5158
400.0	4.261	0.5464
420.0	3.984	0.5755
440.0	3.717	0.6029
460.0	3.464	0.6289
480.0	3.2260000000000004	0.6534
500.0	3.003	0.6765
520.0	2.795	0.6984
540.0	2.6010000000000004	0.7191
560.0	2.421	0.7386
580.0	2.254	0.757
600.0	2.1	0.7744
620.0	1.9569999999999999	0.7908
640.0	1.825	0.8062
660.0	1.704	0.8208
680.0	1.591	0.8346
700.0	1.4869999999999999	0.8476
720.0	1.391	0.8599
740.0	1.3019999999999998	0.8716
760.0	1.22	0.8825
780.0	1.1440000000000001	0.8929
800.0	1.074	0.9026
850.0	0.9194	0.9248
900.0	0.7909999999999999	0.9440000000000001
950.0	0.6839	0.9607
1000.0	0.594	0.9751
1041.0	0.5308	0.9854
1050.0	0.5181	0.9875
1100.0	0.4538	0.9982
1150.0	0.39899999999999997	1.0070000000000001
1200.0	0.3521	1.015
1250.0	0.3119	1.022
1253.6	0.3092	1.022
1300.0	0.2771	1.0270000000000001
1350.0	0.247	1.032
1400.0	0.2209	1.035
1450.0	0.1981	1.038
1486.6	0.1832	1.04
1500.0	0.1781	1.041
