Energy [eV]	Cross Section	Asymmetry Parameter
560.0	0.133	2
580.0	0.1288	2
600.0	0.1251	2
620.0	0.1198	2
640.0	0.1151	2
660.0	0.111	2
680.0	0.107	2
700.0	0.10300000000000001	2
720.0	0.09926	2
740.0	0.09576	2
760.0	0.09247999999999999	2
780.0	0.08934	2
800.0	0.08631	2
850.0	0.07935	2
900.0	0.07325	2
950.0	0.06777000000000001	2
1000.0	0.06289	2
1041.0	0.05927999999999999	2
1050.0	0.05853	2
1100.0	0.05458	2
1150.0	0.05103	2
1200.0	0.047810000000000005	2
1250.0	0.04489	2
1253.6	0.04469	2
1300.0	0.04222	2
1350.0	0.03979	2
1400.0	0.03756	2
1450.0	0.035519999999999996	2
1486.6	0.03412	2
1500.0	0.03363	2
