Energy [eV]	Cross Section	Asymmetry Parameter
190.0	0.4266	2
195.0	0.4242	2
200.0	0.4243	2
205.0	0.4243	2
210.0	0.4226	2
215.0	0.4186	2
220.0	0.4127	2
225.0	0.4052	2
230.0	0.3968	2
235.0	0.3878	2
240.0	0.3788	2
245.0	0.37	2
250.0	0.3615	2
255.0	0.3534	2
260.0	0.3457	2
265.0	0.3384	2
270.0	0.3314	2
275.0	0.3247	2
280.0	0.3182	2
285.0	0.3118	2
290.0	0.3056	2
295.0	0.2994	2
300.0	0.2933	2
305.0	0.2873	2
310.0	0.2814	2
315.0	0.2755	2
320.0	0.2698	2
325.0	0.2641	2
330.0	0.2586	2
335.0	0.2532	2
340.0	0.2479	2
345.0	0.2428	2
350.0	0.2378	2
355.0	0.2329	2
360.0	0.2283	2
365.0	0.2237	2
370.0	0.2193	2
375.0	0.215	2
380.0	0.2108	2
385.0	0.2068	2
390.0	0.2028	2
395.0	0.19899999999999998	2
400.0	0.1952	2
405.0	0.1916	2
410.0	0.188	2
415.0	0.1845	2
420.0	0.1811	2
425.0	0.1778	2
430.0	0.1745	2
435.0	0.1714	2
440.0	0.1683	2
445.0	0.1652	2
450.0	0.1623	2
455.0	0.1594	2
460.0	0.1565	2
465.0	0.1538	2
470.0	0.1511	2
475.0	0.1485	2
480.0	0.1459	2
485.0	0.1434	2
500.0	0.1362	2
520.0	0.1275	2
540.0	0.1195	2
560.0	0.1122	2
580.0	0.1055	2
600.0	0.09935	2
620.0	0.09366000000000001	2
640.0	0.08841	2
660.0	0.08356	2
680.0	0.07909	2
700.0	0.07493999999999999	2
720.0	0.0711	2
740.0	0.06752000000000001	2
760.0	0.06418	2
780.0	0.061070000000000006	2
800.0	0.05816	2
850.0	0.05168	2
900.0	0.04616	2
950.0	0.04143	2
1000.0	0.03734	2
1041.0	0.03439	2
1050.0	0.03379	2
1100.0	0.030680000000000002	2
1150.0	0.027960000000000002	2
1200.0	0.02556	2
1250.0	0.02344	2
1253.6	0.02329	2
1300.0	0.02155	2
1350.0	0.01986	2
1400.0	0.01835	2
1450.0	0.017	2
1486.6	0.01609	2
1500.0	0.01577	2
