Energy [eV]	Cross Section	Asymmetry Parameter
175.0	0.3449	0.3123
180.0	0.3536	0.4069
185.0	0.3402	0.6002
190.0	0.33399999999999996	0.903
195.0	0.3421	1.26
200.0	0.3673	1.58
205.0	0.4113	1.784
210.0	0.4726	1.848
215.0	0.5523	1.807
220.0	0.653	1.6980000000000002
225.0	0.7768	1.5519999999999998
230.0	0.9243	1.391
235.0	1.094	1.2309999999999999
240.0	1.2830000000000001	1.082
245.0	1.485	0.9483
250.0	1.6969999999999998	0.8319
255.0	1.915	0.7324
260.0	2.136	0.6482
265.0	2.358	0.5776
270.0	2.5780000000000003	0.5185
275.0	2.7960000000000003	0.4693
280.0	3.009	0.4285
285.0	3.214	0.3947
290.0	3.409	0.3669
295.0	3.592	0.3442
300.0	3.761	0.3258
305.0	3.917	0.3112
310.0	4.058	0.2997
315.0	4.186	0.2911
320.0	4.301	0.2848
325.0	4.404	0.2807
330.0	4.495	0.2783
335.0	4.577	0.2775
340.0	4.649	0.2779
345.0	4.711	0.2796
350.0	4.763999999999999	0.2821
355.0	4.808	0.2856
360.0	4.843999999999999	0.2897
365.0	4.871	0.2944
370.0	4.891	0.2997
375.0	4.9030000000000005	0.3054
380.0	4.908	0.3114
385.0	4.907	0.3178
390.0	4.9	0.3245
395.0	4.888	0.3314
400.0	4.872	0.3386
405.0	4.852	0.3459
410.0	4.828	0.3533
415.0	4.802	0.3609
420.0	4.772	0.3685
425.0	4.74	0.3763
430.0	4.706	0.384
435.0	4.67	0.3919
440.0	4.632	0.3997
445.0	4.592	0.4075
450.0	4.55	0.4153
455.0	4.506	0.4231
460.0	4.461	0.4308
465.0	4.415	0.4385
480.0	4.271	0.4613
500.0	4.07	0.4908
520.0	3.8680000000000003	0.5193
540.0	3.6689999999999996	0.5466
560.0	3.4730000000000003	0.5728
580.0	3.283	0.5977
600.0	3.1	0.6214
620.0	2.925	0.6438
640.0	2.759	0.665
660.0	2.602	0.6852
680.0	2.454	0.7043
700.0	2.314	0.7226
720.0	2.1830000000000003	0.7398
740.0	2.059	0.7562
760.0	1.943	0.7717
780.0	1.834	0.7864
800.0	1.732	0.8003
850.0	1.505	0.8322
900.0	1.311	0.8602
950.0	1.146	0.8849
1000.0	1.006	0.9065
1041.0	0.9059	0.9223
1050.0	0.8856	0.9256
1100.0	0.7823	0.9424
1150.0	0.6936	0.9572
1200.0	0.6168	0.9702
1250.0	0.5501	0.9816
1253.6	0.5457	0.9823
1300.0	0.4922	0.9916
1350.0	0.4417	1.0
1400.0	0.3973	1.008
1450.0	0.3583	1.014
1486.6	0.3328	1.0190000000000001
1500.0	0.324	1.02
