Energy [eV]	Cross Section	Asymmetry Parameter
35.0	11.15	0.637
40.0	36.91	0.1665
40.81	42.05	0.1669
45.0	57.36	0.2663
50.0	50.52	0.4496
55.0	38.5	0.6335
60.0	28.62	0.8052
65.0	21.12	0.9632
70.0	15.56	1.1079999999999999
75.0	11.52	1.24
80.0	8.62	1.361
85.0	6.534	1.472
90.0	5.018	1.5730000000000002
95.0	3.8989999999999996	1.665
100.0	3.0610000000000004	1.7480000000000002
105.0	2.423	1.821
110.0	1.932	1.8840000000000001
115.0	1.551	1.935
120.0	1.252	1.972
125.0	1.018	1.993
130.0	0.8331	1.995
132.3	0.7616	1.989
135.0	0.6869	1.976
140.0	0.5710000000000001	1.9340000000000002
145.0	0.4789	1.865
150.0	0.4058	1.768
151.4	0.3881	1.736
155.0	0.3476	1.643
160.0	0.3014	1.492
165.0	0.2647	1.3159999999999998
170.0	0.2357	1.121
175.0	0.2129	0.914
180.0	0.195	0.7025
185.0	0.1811	0.4947
190.0	0.1705	0.2983
195.0	0.1624	0.1195
200.0	0.1565	-0.03739
205.0	0.1522	-0.1702
210.0	0.1493	-0.2783
215.0	0.1474	-0.3628
220.0	0.1464	-0.4254
225.0	0.1461	-0.4686
230.0	0.1462	-0.4951
235.0	0.1468	-0.5073
240.0	0.1477	-0.5078
245.0	0.1488	-0.4987
250.0	0.15	-0.48200000000000004
255.0	0.1514	-0.4593
260.0	0.1528	-0.43200000000000005
265.0	0.1543	-0.4012
270.0	0.1558	-0.3679
275.0	0.1572	-0.3329
280.0	0.1586	-0.2968
285.0	0.16	-0.2601
290.0	0.1612	-0.2232
295.0	0.1624	-0.1864
300.0	0.1635	-0.15
305.0	0.1646	-0.1141
310.0	0.1655	-0.07883
315.0	0.1663	-0.04434
320.0	0.1671	-0.01067
325.0	0.1678	0.02216
330.0	0.1684	0.05414
340.0	0.1693	0.1155
360.0	0.1702	0.2281
380.0	0.17	0.3281
400.0	0.1688	0.4169
420.0	0.1669	0.4955
440.0	0.1644	0.5652
460.0	0.1615	0.6274
480.0	0.1582	0.6832
500.0	0.1547	0.7336
520.0	0.151	0.7793
540.0	0.1472	0.8209
560.0	0.1433	0.8588
580.0	0.1394	0.8933
600.0	0.1355	0.9249
620.0	0.1316	0.9539
640.0	0.1278	0.9806
660.0	0.1241	1.005
680.0	0.1204	1.028
700.0	0.1168	1.05
720.0	0.1133	1.069
740.0	0.1099	1.088
760.0	0.1067	1.105
780.0	0.1035	1.121
800.0	0.1004	1.136
850.0	0.09308999999999999	1.169
900.0	0.08639	1.198
950.0	0.08025	1.222
1000.0	0.07464	1.2429999999999999
1041.0	0.0704	1.258
1050.0	0.06951	1.262
1100.0	0.06481	1.2770000000000001
1150.0	0.0605	1.291
1200.0	0.05656	1.3030000000000002
1250.0	0.05294	1.3130000000000002
1253.6	0.05269	1.314
1300.0	0.04962	1.3230000000000002
1350.0	0.04655	1.331
1400.0	0.04374	1.337
1450.0	0.04113	1.3430000000000002
1486.6	0.03936	1.347
1500.0	0.03874	1.348
