Energy [eV]	Cross Section	Asymmetry Parameter
132.3	0.2945	2
140.0	0.2886	2
151.4	0.2766	2
160.0	0.2635	2
180.0	0.2331	2
200.0	0.2091	2
220.0	0.1885	2
240.0	0.1697	2
260.0	0.1534	2
280.0	0.1395	2
300.0	0.1275	2
320.0	0.1168	2
340.0	0.1073	2
360.0	0.09888999999999999	2
380.0	0.0915	2
400.0	0.08492999999999999	2
420.0	0.07905	2
440.0	0.07374	2
460.0	0.06892999999999999	2
480.0	0.06458	2
500.0	0.06065	2
520.0	0.05708	2
540.0	0.05382000000000001	2
560.0	0.050839999999999996	2
580.0	0.04809	2
600.0	0.04556	2
620.0	0.043230000000000005	2
640.0	0.04108	2
660.0	0.03909	2
680.0	0.03725	2
700.0	0.035539999999999995	2
720.0	0.03394	2
740.0	0.03245	2
760.0	0.03105	2
780.0	0.02975	2
800.0	0.02853	2
850.0	0.0258	2
900.0	0.02345	2
950.0	0.02141	2
1000.0	0.01963	2
1041.0	0.018340000000000002	2
1050.0	0.01807	2
1100.0	0.01669	2
1150.0	0.01547	2
1200.0	0.01438	2
1250.0	0.0134	2
1253.6	0.013340000000000001	2
1300.0	0.01253	2
1350.0	0.011729999999999999	2
1400.0	0.01102	2
1450.0	0.01036	2
1486.6	0.009921	2
1500.0	0.009767	2
