Energy [eV]	Cross Section	Asymmetry Parameter
540.0	0.5641	-0.0352
560.0	0.5972	0.3131
580.0	0.5849	0.5568
600.0	0.5613	0.722
620.0	0.5429	0.8443
640.0	0.5285	0.9427
660.0	0.5145	1.025
680.0	0.4996	1.095
700.0	0.4841	1.153
720.0	0.4688	1.203
740.0	0.4544	1.245
760.0	0.4408	1.281
780.0	0.4277	1.3119999999999998
800.0	0.4151	1.34
850.0	0.3843	1.3969999999999998
900.0	0.3554	1.4409999999999998
950.0	0.3294	1.475
1000.0	0.3057	1.5019999999999998
1041.0	0.2876	1.52
1050.0	0.2838	1.5230000000000001
1100.0	0.2636	1.54
1150.0	0.2453	1.554
1200.0	0.2287	1.5659999999999998
1250.0	0.2134	1.575
1253.6	0.2124	1.575
1300.0	0.1994	1.5819999999999999
1350.0	0.1865	1.588
1400.0	0.1747	1.5930000000000002
1450.0	0.1639	1.597
1486.6	0.1566	1.599
1500.0	0.154	1.6
