Energy [eV]	Cross Section	Asymmetry Parameter
100.0	0.2853	2
120.0	0.2713	2
132.3	0.2566	2
140.0	0.2476	2
151.4	0.2347	2
160.0	0.2254	2
180.0	0.2046	2
200.0	0.1849	2
220.0	0.1667	2
240.0	0.1505	2
260.0	0.1364	2
280.0	0.1241	2
300.0	0.1135	2
320.0	0.1042	2
340.0	0.09595	2
360.0	0.08856	2
380.0	0.08192999999999999	2
400.0	0.07599	2
420.0	0.07065	2
440.0	0.06586	2
460.0	0.06155	2
480.0	0.05766	2
500.0	0.05414	2
520.0	0.05092	2
540.0	0.04798	2
560.0	0.04528	2
580.0	0.042789999999999995	2
600.0	0.0405	2
620.0	0.03839	2
640.0	0.036430000000000004	2
660.0	0.03463	2
680.0	0.03296	2
700.0	0.03141	2
720.0	0.02997	2
740.0	0.02862	2
760.0	0.02737	2
780.0	0.026189999999999998	2
800.0	0.02509	2
850.0	0.022619999999999998	2
900.0	0.02049	2
950.0	0.01866	2
1000.0	0.01706	2
1041.0	0.0159	2
1050.0	0.01567	2
1100.0	0.014430000000000002	2
1150.0	0.013340000000000001	2
1200.0	0.01237	2
1250.0	0.0115	2
1253.6	0.01144	2
1300.0	0.01072	2
1350.0	0.010020000000000001	2
1400.0	0.009384	2
1450.0	0.008806	2
1486.6	0.008418	2
1500.0	0.008282	2
