Energy [eV]	Cross Section	Asymmetry Parameter
1060.0	0.2339	1.6580000000000001
1065.0	0.8934	1.245
1070.0	1.452	0.961
1075.0	1.7	0.7874
1080.0	1.8230000000000002	0.6741
1085.0	1.8880000000000001	0.5958
1090.0	1.91	0.5401
1095.0	1.902	0.5
1100.0	1.88	0.4715
1105.0	1.854	0.4516
1110.0	1.831	0.4383
1115.0	1.811	0.4301
1120.0	1.7930000000000001	0.4256
1125.0	1.775	0.4241
1130.0	1.757	0.4249
1135.0	1.7380000000000002	0.4274
1140.0	1.7180000000000002	0.4314
1145.0	1.6980000000000002	0.4365
1150.0	1.6780000000000002	0.4427
1155.0	1.66	0.4497
1160.0	1.642	0.4574
1165.0	1.624	0.4656
1170.0	1.608	0.4743
1175.0	1.5919999999999999	0.4832
1180.0	1.575	0.4924
1185.0	1.5590000000000002	0.5017
1190.0	1.5430000000000001	0.5111
1195.0	1.527	0.5205
1200.0	1.511	0.53
1205.0	1.496	0.5394
1210.0	1.4809999999999999	0.5489
1215.0	1.466	0.5583
1220.0	1.4509999999999998	0.5677
1225.0	1.4369999999999998	0.5771
1230.0	1.423	0.5864
1235.0	1.41	0.5957
1240.0	1.396	0.6049
1245.0	1.383	0.614
1250.0	1.37	0.623
1253.6	1.36	0.6294
1255.0	1.357	0.6318
1260.0	1.344	0.6406
1265.0	1.331	0.6492
1270.0	1.318	0.6577
1275.0	1.306	0.6659999999999999
1280.0	1.2930000000000001	0.6743
1285.0	1.281	0.6824
1290.0	1.2690000000000001	0.6903
1295.0	1.2570000000000001	0.6982
1300.0	1.245	0.7059
1305.0	1.234	0.7136
1310.0	1.222	0.7211
1315.0	1.2109999999999999	0.7285
1320.0	1.2	0.7358
1325.0	1.189	0.743
1330.0	1.178	0.75
1335.0	1.167	0.757
1340.0	1.157	0.7638
1345.0	1.146	0.7706
1350.0	1.136	0.7772
1355.0	1.125	0.7837
1400.0	1.037	0.8375
1450.0	0.9496	0.8888
1486.6	0.8911	0.9215
1500.0	0.8708	0.9325
