Energy [eV]	Cross Section	Asymmetry Parameter
15.0	0.3871	1.2409999999999999
16.71	0.4248	1.706
20.0	0.5836	1.9340000000000002
21.22	0.6708	1.8840000000000001
25.0	1.0290000000000001	1.588
26.86	1.245	1.433
30.0	1.642	1.206
35.0	2.285	0.9413
40.0	2.873	0.7659
40.81	2.9610000000000003	0.7435
45.0	3.383	0.6473
50.0	3.815	0.5644
55.0	4.157	0.505
60.0	4.402	0.4617
65.0	4.552	0.4303
70.0	4.623	0.4078
75.0	4.638999999999999	0.3923
80.0	4.619	0.3824
85.0	4.575	0.3768
90.0	4.513	0.3746
95.0	4.437	0.3751
100.0	4.348	0.3776
105.0	4.248	0.3819
110.0	4.138999999999999	0.3876
115.0	4.025	0.3944
120.0	3.907	0.4021
125.0	3.787	0.4107
130.0	3.6689999999999996	0.4199
132.3	3.614	0.4243
135.0	3.551	0.4296
140.0	3.435	0.4398
145.0	3.32	0.4503
150.0	3.207	0.461
151.4	3.176	0.46399999999999997
155.0	3.096	0.4719
160.0	2.986	0.4828
165.0	2.8789999999999996	0.4938
170.0	2.775	0.5049
175.0	2.674	0.5159
180.0	2.575	0.5269
185.0	2.481	0.5378
190.0	2.3890000000000002	0.5487
195.0	2.301	0.5595
200.0	2.2159999999999997	0.5703
205.0	2.134	0.5809
210.0	2.055	0.5915
215.0	1.979	0.6019
220.0	1.906	0.6121
225.0	1.835	0.6223
230.0	1.767	0.6322
235.0	1.7009999999999998	0.642
240.0	1.639	0.6517
245.0	1.578	0.6611
250.0	1.52	0.6705
255.0	1.464	0.6796
260.0	1.411	0.6886
265.0	1.36	0.6974
270.0	1.311	0.706
275.0	1.263	0.7145
280.0	1.218	0.7229
285.0	1.175	0.7311
290.0	1.133	0.7391
295.0	1.093	0.747
300.0	1.055	0.7547
305.0	1.018	0.7623
310.0	0.9825	0.7697
320.0	0.9159	0.7841
340.0	0.7979	0.8111
360.0	0.6976	0.8359
380.0	0.6121	0.8588
400.0	0.5389	0.8797
420.0	0.47600000000000003	0.8989
440.0	0.4219	0.9165
460.0	0.3751	0.9326
480.0	0.3345	0.9473
500.0	0.2992	0.9607
520.0	0.2684	0.9729
540.0	0.2414	0.9841
560.0	0.2177	0.9943
580.0	0.1968	1.004
600.0	0.1784	1.012
620.0	0.162	1.0190000000000001
640.0	0.1474	1.026
660.0	0.1345	1.032
680.0	0.1229	1.038
700.0	0.1125	1.043
720.0	0.1032	1.047
740.0	0.09486	1.051
760.0	0.08732000000000001	1.055
780.0	0.0805	1.058
800.0	0.07433	1.06
850.0	0.0613	1.065
900.0	0.050980000000000004	1.068
950.0	0.042730000000000004	1.069
1000.0	0.03608	1.069
1041.0	0.031560000000000005	1.068
1050.0	0.030660000000000003	1.068
1100.0	0.02622	1.065
1150.0	0.02254	1.062
1200.0	0.01949	1.058
1250.0	0.01693	1.054
1253.6	0.01676	1.054
1300.0	0.014769999999999998	1.0490000000000002
1350.0	0.01294	1.044
1400.0	0.01139	1.0390000000000001
1450.0	0.01006	1.033
1486.6	0.009202	1.028
1500.0	0.00891	1.0270000000000001
