Energy [eV]	Cross Section	Asymmetry Parameter
60.0	0.3384	2
80.0	0.2898	2
100.0	0.2337	2
120.0	0.1909	2
132.3	0.1694	2
140.0	0.1576	2
151.4	0.1422	2
160.0	0.132	2
180.0	0.1124	2
200.0	0.09685	2
220.0	0.08434	2
240.0	0.07418999999999999	2
260.0	0.06587	2
280.0	0.05892000000000001	2
300.0	0.05304	2
320.0	0.04804	2
340.0	0.04375	2
360.0	0.04004	2
380.0	0.0368	2
400.0	0.03395	2
420.0	0.03143	2
440.0	0.029189999999999997	2
460.0	0.0272	2
480.0	0.02541	2
500.0	0.0238	2
520.0	0.022340000000000002	2
540.0	0.02102	2
560.0	0.019809999999999998	2
580.0	0.01871	2
600.0	0.0177	2
620.0	0.01678	2
640.0	0.01592	2
660.0	0.01514	2
680.0	0.01441	2
700.0	0.013730000000000001	2
720.0	0.0131	2
740.0	0.01252	2
760.0	0.01197	2
780.0	0.01146	2
800.0	0.01098	2
850.0	0.009915	2
900.0	0.008997	2
950.0	0.008203	2
1000.0	0.007509999999999999	2
1041.0	0.007006	2
1050.0	0.006901999999999999	2
1100.0	0.006365999999999999	2
1150.0	0.00589	2
1200.0	0.0054659999999999995	2
1250.0	0.0050869999999999995	2
1253.6	0.0050609999999999995	2
1300.0	0.004745	2
1350.0	0.004437	2
1400.0	0.004158	2
1450.0	0.0039049999999999996	2
1486.6	0.0037340000000000003	2
1500.0	0.003674	2
