Energy [eV]	Cross Section	Asymmetry Parameter
110.0	0.4467	0.7401
115.0	0.4197	0.7268
120.0	0.3889	0.3892
125.0	0.3619	0.1311
130.0	0.33899999999999997	-0.05695
132.3	0.33	-0.1244
135.0	0.3207	-0.19
140.0	0.3068	-0.2752
145.0	0.2969	-0.3183
150.0	0.29	-0.3265
151.4	0.2885	-0.3237
155.0	0.2854	-0.3082
160.0	0.2823	-0.2717
165.0	0.2801	-0.2239
170.0	0.2785	-0.1699
175.0	0.2772	-0.1129
180.0	0.2759	-0.05483
185.0	0.2747	0.0031550000000000003
190.0	0.2734	0.060520000000000004
195.0	0.2721	0.11699999999999999
200.0	0.2708	0.1723
205.0	0.2694	0.2264
210.0	0.2678	0.2788
215.0	0.2662	0.3295
220.0	0.2645	0.3782
225.0	0.2627	0.4248
230.0	0.2609	0.4691
235.0	0.2589	0.5112
240.0	0.2568	0.551
245.0	0.2547	0.5886
250.0	0.2525	0.624
255.0	0.2502	0.6576
260.0	0.2479	0.6893
265.0	0.2456	0.7195
270.0	0.2432	0.7481
275.0	0.2408	0.7755
280.0	0.2384	0.8016
285.0	0.23600000000000002	0.8266
290.0	0.2335	0.8507
295.0	0.2311	0.8738
300.0	0.2286	0.8959999999999999
305.0	0.2261	0.9175
310.0	0.2236	0.9381
315.0	0.2212	0.9579
320.0	0.2187	0.977
325.0	0.2162	0.9953
330.0	0.2137	1.013
335.0	0.2112	1.03
340.0	0.2088	1.046
345.0	0.2063	1.062
350.0	0.2039	1.077
355.0	0.2015	1.091
360.0	0.1992	1.105
365.0	0.1968	1.1179999999999999
370.0	0.1945	1.131
375.0	0.1922	1.1440000000000001
380.0	0.19	1.156
385.0	0.1878	1.167
390.0	0.1856	1.178
395.0	0.1834	1.189
400.0	0.1813	1.2
405.0	0.1792	1.21
420.0	0.17300000000000001	1.239
440.0	0.1651	1.275
460.0	0.1576	1.307
480.0	0.1506	1.335
500.0	0.14400000000000002	1.36
520.0	0.1378	1.383
540.0	0.1319	1.4040000000000001
560.0	0.1264	1.4240000000000002
580.0	0.1212	1.442
600.0	0.1162	1.4580000000000002
620.0	0.1116	1.473
640.0	0.1072	1.4869999999999999
660.0	0.1031	1.5
680.0	0.09921	1.5119999999999998
700.0	0.09554	1.5230000000000001
720.0	0.09205	1.5330000000000001
740.0	0.08875	1.5430000000000001
760.0	0.08561	1.5519999999999998
780.0	0.08263	1.561
800.0	0.07981	1.569
850.0	0.07336000000000001	1.587
900.0	0.06766	1.6019999999999999
950.0	0.06258999999999999	1.6159999999999999
1000.0	0.05806	1.6280000000000001
1041.0	0.054720000000000005	1.636
1050.0	0.054020000000000006	1.6380000000000001
1100.0	0.05039	1.6469999999999998
1150.0	0.04711	1.655
1200.0	0.04413	1.662
1250.0	0.04144	1.6680000000000001
1253.6	0.041260000000000005	1.6680000000000001
1300.0	0.03898	1.6740000000000002
1350.0	0.03673	1.6780000000000002
1400.0	0.03468	1.683
1450.0	0.03279	1.686
1486.6	0.0315	1.689
1500.0	0.03105	1.69
