Energy [eV]	Cross Section	Asymmetry Parameter
151.4	0.2784	2
160.0	0.2825	2
180.0	0.2608	2
200.0	0.2309	2
220.0	0.2086	2
240.0	0.1892	2
260.0	0.1713	2
280.0	0.1556	2
300.0	0.1422	2
320.0	0.1306	2
340.0	0.1202	2
360.0	0.1108	2
380.0	0.1025	2
400.0	0.09519	2
420.0	0.08865	2
440.0	0.08276	2
460.0	0.07741	2
480.0	0.07254	2
500.0	0.06812	2
520.0	0.06412000000000001	2
540.0	0.06047	2
560.0	0.05712999999999999	2
580.0	0.054060000000000004	2
600.0	0.05123	2
620.0	0.04861	2
640.0	0.046189999999999995	2
660.0	0.04395	2
680.0	0.04188	2
700.0	0.03995	2
720.0	0.03816	2
740.0	0.036489999999999995	2
760.0	0.03492	2
780.0	0.033460000000000004	2
800.0	0.032080000000000004	2
850.0	0.028999999999999998	2
900.0	0.02636	2
950.0	0.024069999999999998	2
1000.0	0.02207	2
1041.0	0.02061	2
1050.0	0.020309999999999998	2
1100.0	0.01876	2
1150.0	0.01738	2
1200.0	0.01616	2
1250.0	0.015059999999999999	2
1253.6	0.014980000000000002	2
1300.0	0.01407	2
1350.0	0.01318	2
1400.0	0.01237	2
1450.0	0.011640000000000001	2
1486.6	0.01114	2
1500.0	0.01097	2
