Energy [eV]	Cross Section	Asymmetry Parameter
960.0	0.6073	1.445
965.0	1.439	1.0859999999999999
970.0	1.876	0.8558
975.0	2.041	0.7131
980.0	2.119	0.6182
985.0	2.144	0.5523
990.0	2.131	0.5056
995.0	2.0980000000000003	0.4728
1000.0	2.061	0.4502
1005.0	2.0269999999999997	0.4353
1010.0	1.999	0.4263
1015.0	1.975	0.4215
1020.0	1.9509999999999998	0.4201
1025.0	1.9280000000000002	0.4212
1030.0	1.9040000000000001	0.4242
1035.0	1.879	0.4288
1040.0	1.855	0.4348
1041.0	1.85	0.4361
1045.0	1.831	0.4417
1050.0	1.8090000000000002	0.4496
1055.0	1.788	0.4581
1060.0	1.767	0.4672
1065.0	1.7480000000000002	0.4767
1070.0	1.729	0.4865
1075.0	1.709	0.4965
1080.0	1.6909999999999998	0.5066
1085.0	1.672	0.5167
1090.0	1.653	0.5269
1095.0	1.635	0.5371
1100.0	1.617	0.5472
1105.0	1.6	0.5574
1110.0	1.5830000000000002	0.5675
1115.0	1.5659999999999998	0.5776
1120.0	1.55	0.5876
1125.0	1.534	0.5975
1130.0	1.518	0.6073
1135.0	1.5030000000000001	0.617
1140.0	1.4869999999999999	0.6266
1145.0	1.472	0.6361
1150.0	1.4569999999999999	0.6454
1155.0	1.442	0.6545
1160.0	1.4269999999999998	0.6635
1165.0	1.413	0.6724
1170.0	1.3980000000000001	0.6811
1175.0	1.3840000000000001	0.6897
1180.0	1.37	0.6981
1185.0	1.357	0.7064
1190.0	1.3430000000000002	0.7146
1195.0	1.33	0.7227
1200.0	1.317	0.7306
1205.0	1.304	0.7384
1210.0	1.291	0.746
1215.0	1.278	0.7535
1220.0	1.266	0.7609
1225.0	1.253	0.7682
1230.0	1.2409999999999999	0.7753
1235.0	1.229	0.7823
1240.0	1.216	0.7892
1245.0	1.205	0.7959999999999999
1250.0	1.193	0.8026
1253.6	1.1840000000000002	0.8073
1300.0	1.083	0.863
1350.0	0.9851	0.9138
1400.0	0.8981	0.9567
1450.0	0.8204	0.9931
1486.6	0.769	1.016
1500.0	0.7511	1.024
