Energy [eV]	Cross Section	Asymmetry Parameter
280.0	0.2128	2
300.0	0.2024	2
320.0	0.1884	2
340.0	0.1762	2
360.0	0.1653	2
380.0	0.155	2
400.0	0.1457	2
420.0	0.1372	2
440.0	0.1292	2
460.0	0.1219	2
480.0	0.1152	2
500.0	0.109	2
520.0	0.1033	2
540.0	0.09795	2
560.0	0.09305	2
580.0	0.08849	2
600.0	0.08425	2
620.0	0.0803	2
640.0	0.07662000000000001	2
660.0	0.07318999999999999	2
680.0	0.06998	2
700.0	0.06697	2
720.0	0.06415	2
740.0	0.0615	2
760.0	0.05902	2
780.0	0.056679999999999994	2
800.0	0.054470000000000005	2
850.0	0.04949	2
900.0	0.045160000000000006	2
950.0	0.04137	2
1000.0	0.03804	2
1041.0	0.0356	2
1050.0	0.035089999999999996	2
1100.0	0.03247	2
1150.0	0.030139999999999997	2
1200.0	0.02804	2
1250.0	0.026160000000000003	2
1253.6	0.02603	2
1300.0	0.02446	2
1350.0	0.02292	2
1400.0	0.021509999999999998	2
1450.0	0.02024	2
1486.6	0.01937	2
1500.0	0.01907	2
