Energy [eV]	Cross Section	Asymmetry Parameter
330.0	0.2914	0.2425
335.0	0.2751	0.3674
340.0	0.2629	0.5687
345.0	0.2593	0.8073
350.0	0.2677	0.9032
355.0	0.28300000000000003	0.7164
360.0	0.2993	0.4064
365.0	0.3155	0.1048
370.0	0.3322	-0.1492
375.0	0.3497	-0.3519
380.0	0.3675	-0.5084
385.0	0.3854	-0.625
390.0	0.4027	-0.7083
395.0	0.4192	-0.7642
400.0	0.4347	-0.7983
405.0	0.4493	-0.8149
410.0	0.4629	-0.818
415.0	0.4759	-0.8104
420.0	0.4883	-0.7946
425.0	0.5003	-0.7725
430.0	0.5119	-0.7455
435.0	0.5233	-0.7148
440.0	0.5345	-0.6814
445.0	0.5454	-0.6459999999999999
450.0	0.5559	-0.6092
455.0	0.5662	-0.5716
460.0	0.5760000000000001	-0.5335
465.0	0.5853	-0.4954
470.0	0.5941	-0.4575
475.0	0.6025	-0.4199
480.0	0.6103	-0.3829
485.0	0.6176	-0.3466
490.0	0.6244	-0.3109
495.0	0.6307	-0.2761
500.0	0.6365	-0.2421
505.0	0.6419	-0.2089
510.0	0.647	-0.1765
515.0	0.6517	-0.1448
520.0	0.6559999999999999	-0.114
525.0	0.6601	-0.08392999999999999
530.0	0.6639	-0.0546
535.0	0.6674	-0.02598
540.0	0.6707	0.00193
545.0	0.6737	0.029160000000000002
550.0	0.6764	0.05571
555.0	0.6789	0.0816
560.0	0.6812	0.1068
565.0	0.6832	0.1314
570.0	0.685	0.1554
575.0	0.6865	0.1787
580.0	0.6877	0.2014
585.0	0.6888	0.2236
590.0	0.6895	0.2451
595.0	0.6901	0.266
600.0	0.6904	0.2864
605.0	0.6905	0.3062
610.0	0.6905	0.3255
615.0	0.6902	0.3442
620.0	0.6897	0.3625
625.0	0.6891	0.3802
640.0	0.6864	0.4307
660.0	0.6811	0.4924
680.0	0.6743	0.5484
700.0	0.6661	0.5997
720.0	0.6568	0.6467
740.0	0.6465	0.6899
760.0	0.6352	0.7297
780.0	0.6233	0.7662
800.0	0.611	0.7998
850.0	0.5793	0.8732
900.0	0.5474	0.9346
950.0	0.5156	0.9866
1000.0	0.4848	1.031
1041.0	0.4607	1.062
1050.0	0.4555	1.068
1100.0	0.4278	1.101
1150.0	0.4016	1.129
1200.0	0.3771	1.1540000000000001
1250.0	0.3542	1.176
1253.6	0.3526	1.177
1300.0	0.3328	1.195
1350.0	0.3129	1.2109999999999999
1400.0	0.2944	1.226
1450.0	0.2771	1.239
1486.6	0.2652	1.247
1500.0	0.2611	1.25
