Energy [eV]	Cross Section	Asymmetry Parameter
485.0	0.1143	0.1692
490.0	0.1161	0.01694
495.0	0.1188	-0.04317
500.0	0.1304	0.179
505.0	0.1573	0.6515
510.0	0.20600000000000002	1.145
515.0	0.2831	1.496
520.0	0.3922	1.67
525.0	0.5332	1.709
530.0	0.7046	1.665
535.0	0.9056	1.578
540.0	1.135	1.472
545.0	1.3869999999999998	1.36
550.0	1.6540000000000001	1.251
555.0	1.9240000000000002	1.148
560.0	2.189	1.054
565.0	2.44	0.9687
570.0	2.675	0.8921
575.0	2.89	0.8236
580.0	3.083	0.7625
585.0	3.255	0.7082
590.0	3.403	0.66
595.0	3.528	0.6174
600.0	3.6319999999999997	0.5797
605.0	3.718	0.5465
610.0	3.7880000000000003	0.5174
615.0	3.844	0.4919
620.0	3.889	0.4696
625.0	3.924	0.4503
630.0	3.95	0.4335
635.0	3.968	0.419
640.0	3.9789999999999996	0.4065
645.0	3.983	0.3959
650.0	3.9819999999999998	0.387
655.0	3.9760000000000004	0.3795
660.0	3.966	0.3734
665.0	3.9530000000000003	0.3684
670.0	3.938	0.3646
675.0	3.92	0.3617
680.0	3.9010000000000002	0.3598
685.0	3.8789999999999996	0.3586
690.0	3.8569999999999998	0.3581
695.0	3.833	0.3583
700.0	3.8080000000000003	0.3591
705.0	3.782	0.3604
710.0	3.755	0.3621
715.0	3.727	0.3643
720.0	3.698	0.3668
725.0	3.6689999999999996	0.3697
730.0	3.639	0.3729
735.0	3.609	0.3764
740.0	3.5780000000000003	0.3802
745.0	3.548	0.3841
750.0	3.517	0.3883
755.0	3.487	0.3927
760.0	3.4560000000000004	0.3972
765.0	3.425	0.4018
770.0	3.3939999999999997	0.4066
775.0	3.363	0.4115
780.0	3.332	0.4164
800.0	3.207	0.43700000000000006
850.0	2.904	0.4906
900.0	2.62	0.5433
950.0	2.359	0.5927
1000.0	2.123	0.6381
1041.0	1.9469999999999998	0.6723
1050.0	1.911	0.6794
1100.0	1.722	0.7168
1150.0	1.5530000000000002	0.7505
1200.0	1.403	0.7808
1250.0	1.2690000000000001	0.8082
1253.6	1.26	0.8101
1300.0	1.15	0.8329
1350.0	1.045	0.8552
1400.0	0.9501	0.8753
1450.0	0.8659	0.8935
1486.6	0.81	0.9056
1500.0	0.7906	0.9099
