Energy [eV]	Cross Section	Asymmetry Parameter
125.0	2.342	-0.8427
130.0	3.298	-0.09454
132.3	3.353	0.2243
135.0	3.242	0.5283
140.0	2.8819999999999997	0.9455
145.0	2.497	1.2429999999999999
150.0	2.134	1.464
151.4	2.0380000000000003	1.514
155.0	1.8090000000000002	1.626
160.0	1.53	1.74
165.0	1.3	1.814
170.0	1.111	1.851
175.0	0.9563	1.855
180.0	0.8298	1.827
185.0	0.7255	1.768
190.0	0.6394	1.68
195.0	0.5681	1.565
200.0	0.5093	1.425
205.0	0.4607	1.265
210.0	0.4208	1.091
215.0	0.3881	0.9059999999999999
220.0	0.3615	0.7174
225.0	0.34	0.5304
230.0	0.3228	0.3501
235.0	0.3091	0.1809
240.0	0.2983	0.026080000000000002
245.0	0.2899	-0.1119
250.0	0.2836	-0.2319
255.0	0.2789	-0.3335
260.0	0.2755	-0.4174
265.0	0.2732	-0.4845
270.0	0.2718	-0.5362
275.0	0.2712	-0.5739
280.0	0.2712	-0.5994
285.0	0.2717	-0.6142
290.0	0.2725	-0.6196
295.0	0.2737	-0.6172
300.0	0.2751	-0.6082
305.0	0.2767	-0.5938
310.0	0.2784	-0.5749
315.0	0.2801	-0.5524
320.0	0.2819	-0.5272
325.0	0.2837	-0.4998
330.0	0.2855	-0.4707
335.0	0.2872	-0.4404
340.0	0.2888	-0.4093
345.0	0.2904	-0.3776
350.0	0.2919	-0.3455
355.0	0.2933	-0.3133
360.0	0.2947	-0.2811
365.0	0.2959	-0.249
370.0	0.297	-0.2173
375.0	0.2981	-0.1859
380.0	0.299	-0.1549
385.0	0.2998	-0.1244
390.0	0.3005	-0.0945
395.0	0.3012	-0.06518
400.0	0.3017	-0.036489999999999995
405.0	0.3021	-0.008445000000000001
410.0	0.3024	0.01896
415.0	0.3026	0.04571
440.0	0.3024	0.1702
460.0	0.3008	0.2594
480.0	0.2983	0.3401
500.0	0.2948	0.4132
520.0	0.2907	0.4793
540.0	0.28600000000000003	0.5395
560.0	0.2809	0.5943
580.0	0.2755	0.6446
600.0	0.2699	0.6906
620.0	0.2641	0.7329
640.0	0.2582	0.7718
660.0	0.2522	0.8077
680.0	0.2463	0.8411
700.0	0.2403	0.872
720.0	0.2344	0.9008
740.0	0.2286	0.9275
760.0	0.2229	0.9525
780.0	0.2172	0.9758
800.0	0.2117	0.9976
850.0	0.1984	1.047
900.0	0.1859	1.088
950.0	0.1743	1.125
1000.0	0.1634	1.156
1041.0	0.1551	1.179
1050.0	0.1534	1.1840000000000002
1100.0	0.1441	1.208
1150.0	0.1354	1.229
1200.0	0.1274	1.248
1250.0	0.12	1.264
1253.6	0.1195	1.266
1300.0	0.1131	1.2790000000000001
1350.0	0.1068	1.2919999999999998
1400.0	0.1008	1.304
1450.0	0.09536	1.314
1486.6	0.09157	1.321
1500.0	0.09022999999999999	1.324
