Energy [eV]	Cross Section	Asymmetry Parameter
25.0	0.3335	0.08331000000000001
30.0	5.35	1.635
35.0	2.8360000000000003	1.733
40.0	1.585	1.739
40.81	1.452	1.7309999999999999
45.0	0.9522	1.6469999999999998
50.0	0.6176	1.4569999999999999
55.0	0.4317	1.186
60.0	0.3239	0.8698
65.0	0.2595	0.5569
70.0	0.2201	0.2903
75.0	0.1956	0.09402999999999999
80.0	0.1799	-0.03009
85.0	0.1695	-0.0938
90.0	0.1621	-0.1128
95.0	0.1566	-0.1012
100.0	0.1523	-0.06954
105.0	0.1487	-0.02536
110.0	0.1455	0.026160000000000003
115.0	0.1426	0.08142
120.0	0.1398	0.1379
125.0	0.1372	0.19399999999999998
130.0	0.1347	0.2485
132.3	0.1335	0.2728
135.0	0.1322	0.3008
140.0	0.1297	0.3507
145.0	0.1273	0.39799999999999996
150.0	0.1249	0.4429
151.4	0.1242	0.4551
155.0	0.1225	0.4855
160.0	0.1201	0.526
165.0	0.1178	0.5644
170.0	0.1156	0.6011
175.0	0.1133	0.636
180.0	0.1111	0.6692
185.0	0.109	0.7009
190.0	0.1069	0.7309
195.0	0.1048	0.7596
200.0	0.1028	0.7867
205.0	0.1008	0.8126
210.0	0.09888999999999999	0.8372
215.0	0.09702000000000001	0.8607
220.0	0.09519	0.8831
225.0	0.09341	0.9046
230.0	0.09168	0.9251
235.0	0.08999	0.9448
240.0	0.08834	0.9637
245.0	0.08673	0.982
250.0	0.08516	0.9995
255.0	0.08363999999999999	1.016
260.0	0.08215	1.033
265.0	0.08069	1.048
270.0	0.07927000000000001	1.064
275.0	0.07789	1.078
280.0	0.07654	1.092
285.0	0.07522000000000001	1.1059999999999999
290.0	0.07393999999999999	1.119
295.0	0.07269	1.1320000000000001
300.0	0.07148	1.1440000000000001
305.0	0.07028999999999999	1.155
310.0	0.06913	1.167
315.0	0.068	1.178
320.0	0.0669	1.189
340.0	0.06275	1.228
360.0	0.05897	1.264
380.0	0.05552000000000001	1.296
400.0	0.052379999999999996	1.324
420.0	0.0495	1.35
440.0	0.04685	1.374
460.0	0.04442	1.395
480.0	0.04217	1.415
500.0	0.04009	1.433
520.0	0.03816	1.45
540.0	0.03638	1.465
560.0	0.034710000000000005	1.479
580.0	0.03316	1.493
600.0	0.03172	1.505
620.0	0.030369999999999998	1.516
640.0	0.0291	1.527
660.0	0.02791	1.537
680.0	0.0268	1.547
700.0	0.02575	1.555
720.0	0.02476	1.564
740.0	0.02383	1.5719999999999998
760.0	0.02295	1.579
780.0	0.022119999999999997	1.5859999999999999
800.0	0.02134	1.5930000000000002
850.0	0.01955	1.607
900.0	0.01798	1.621
950.0	0.01659	1.632
1000.0	0.015359999999999999	1.642
1041.0	0.01444	1.65
1050.0	0.01425	1.651
1100.0	0.013269999999999999	1.659
1150.0	0.01238	1.666
1200.0	0.01158	1.672
1250.0	0.01086	1.6780000000000002
1253.6	0.01081	1.6780000000000002
1300.0	0.0102	1.683
1350.0	0.0096	1.6880000000000002
1400.0	0.00905	1.692
1450.0	0.008548	1.695
1486.6	0.008206	1.6980000000000002
1500.0	0.008087	1.699
