Energy [eV]	Cross Section	Asymmetry Parameter
335.0	0.1724	0.07781
340.0	0.1765	0.009058
345.0	0.1949	0.35600000000000004
350.0	0.2393	1.003
355.0	0.3169	1.5390000000000001
360.0	0.4297	1.8119999999999998
365.0	0.5725	1.869
370.0	0.7399	1.8019999999999998
375.0	0.9311	1.6780000000000002
380.0	1.146	1.5319999999999998
385.0	1.38	1.3840000000000001
390.0	1.625	1.244
395.0	1.874	1.1179999999999999
400.0	2.12	1.005
405.0	2.36	0.9059999999999999
410.0	2.59	0.8195
415.0	2.8089999999999997	0.7443
420.0	3.013	0.6789
425.0	3.199	0.6222
430.0	3.367	0.5732
435.0	3.517	0.531
440.0	3.65	0.4949
445.0	3.767	0.46399999999999997
450.0	3.87	0.4377
455.0	3.96	0.4154
460.0	4.037	0.3966
465.0	4.103	0.3808
470.0	4.158	0.3678
475.0	4.202	0.35700000000000004
480.0	4.238	0.3484
485.0	4.266	0.3416
490.0	4.2860000000000005	0.3364
495.0	4.301	0.3327
500.0	4.311	0.3302
505.0	4.315	0.3288
510.0	4.316	0.3284
515.0	4.312	0.3289
520.0	4.303999999999999	0.3302
525.0	4.294	0.3321
530.0	4.279	0.3347
535.0	4.263	0.3377
540.0	4.243	0.3413
545.0	4.2219999999999995	0.3453
550.0	4.199	0.3496
555.0	4.1739999999999995	0.3543
560.0	4.147	0.3592
565.0	4.12	0.3644
570.0	4.091	0.3698
575.0	4.061	0.3754
580.0	4.029	0.3811
585.0	3.997	0.387
590.0	3.964	0.39299999999999996
595.0	3.93	0.3991
600.0	3.8960000000000004	0.4053
605.0	3.86	0.4115
610.0	3.825	0.4178
615.0	3.7889999999999997	0.4242
620.0	3.752	0.4305
625.0	3.716	0.4369
640.0	3.605	0.4562
660.0	3.455	0.4817
680.0	3.305	0.5066
700.0	3.158	0.531
720.0	3.014	0.5546
740.0	2.8739999999999997	0.5773
760.0	2.738	0.5991
780.0	2.608	0.62
800.0	2.484	0.64
850.0	2.197	0.6862
900.0	1.944	0.7273
950.0	1.722	0.7639
1000.0	1.528	0.7965
1041.0	1.3880000000000001	0.8204
1050.0	1.36	0.8254
1100.0	1.212	0.8512
1150.0	1.083	0.8741
1200.0	0.9702	0.8946
1250.0	0.8713	0.9129
1253.6	0.8647	0.9141
1300.0	0.7845	0.9292
1350.0	0.7079	0.9438
1400.0	0.6404	0.9568
1450.0	0.5806	0.9684
1486.6	0.5411	0.976
1500.0	0.5275	0.9787
