Energy [eV]	Cross Section	Asymmetry Parameter
10.0	1.3840000000000001	2
10.2	1.3330000000000002	2
15.0	0.6635	2
16.7	0.5527	2
20.0	0.4108	2
21.2	0.3741	2
25.0	0.2877	2
26.8	0.2577	2
30.0	0.2152	2
35.0	0.1675	2
40.0	0.1343	2
40.8	0.1299	2
45.0	0.1102	2
50.0	0.09229	2
55.0	0.07859	2
60.0	0.0679	2
65.0	0.059370000000000006	2
70.0	0.05246	2
75.0	0.04677	2
80.0	0.04204	2
85.0	0.03805	2
90.0	0.03466	2
95.0	0.03174	2
100.0	0.02922	2
105.0	0.027000000000000003	2
110.0	0.02505	2
115.0	0.0233	2
120.0	0.02174	2
125.0	0.02033	2
130.0	0.01905	2
132.3	0.0185	2
135.0	0.01788	2
140.0	0.01681	2
145.0	0.01584	2
150.0	0.01494	2
151.4	0.014709999999999999	2
155.0	0.014119999999999999	2
160.0	0.013369999999999998	2
165.0	0.01267	2
170.0	0.012029999999999999	2
175.0	0.01144	2
180.0	0.01089	2
185.0	0.01039	2
190.0	0.009916	2
195.0	0.009479000000000001	2
200.0	0.009073999999999999	2
205.0	0.008697	2
210.0	0.008345	2
215.0	0.008015999999999999	2
220.0	0.007709000000000001	2
225.0	0.007421	2
230.0	0.00715	2
235.0	0.006895	2
240.0	0.0066549999999999995	2
245.0	0.006429000000000001	2
250.0	0.006215	2
255.0	0.006012	2
260.0	0.0058189999999999995	2
265.0	0.0056359999999999995	2
270.0	0.005462	2
275.0	0.005297	2
280.0	0.005139	2
285.0	0.004988	2
290.0	0.004843999999999999	2
295.0	0.004706	2
300.0	0.004574	2
320.0	0.0041	2
340.0	0.003698	2
360.0	0.003355	2
380.0	0.003061	2
400.0	0.002806	2
420.0	0.002584	2
440.0	0.002388	2
460.0	0.002215	2
480.0	0.00206	2
500.0	0.0019219999999999999	2
520.0	0.001797	2
540.0	0.001684	2
560.0	0.0015810000000000002	2
580.0	0.0014880000000000002	2
600.0	0.0014039999999999999	2
620.0	0.001326	2
640.0	0.001255	2
660.0	0.00119	2
680.0	0.0011300000000000001	2
700.0	0.001075	2
720.0	0.001023	2
740.0	0.0009752000000000001	2
760.0	0.0009307	2
780.0	0.0008892000000000001	2
800.0	0.0008504	2
850.0	0.0007642	2
900.0	0.0006907	2
950.0	0.0006275	2
1000.0	0.0005727999999999999	2
1041.0	0.0005332999999999999	2
1050.0	0.0005251	2
1100.0	0.0004832	2
1150.0	0.0004463	2
1200.0	0.00041349999999999997	2
1250.0	0.0003843	2
1253.6	0.00038229999999999997	2
1300.0	0.00035810000000000003	2
1350.0	0.0003347	2
1400.0	0.0003135	2
1450.0	0.0002943	2
1486.6	0.00028139999999999996	2
1500.0	0.00027689999999999995	2
