Energy [eV]	Cross Section	Asymmetry Parameter
25.0	22.79	1.7590000000000001
26.86	15.35	1.8530000000000002
30.0	8.804	1.9240000000000002
35.0	4.289	1.8969999999999998
40.0	2.354	1.7380000000000002
40.81	2.154	1.7
45.0	1.4080000000000001	1.456
50.0	0.9136	1.073
55.0	0.6462	0.6491
60.0	0.4988	0.2705
65.0	0.4162	0.004789
70.0	0.369	-0.1317
75.0	0.3412	-0.1624
80.0	0.3241	-0.1233
85.0	0.3128	-0.04476
90.0	0.3048	0.05247
95.0	0.2985	0.156
100.0	0.2931	0.2588
105.0	0.2882	0.3573
110.0	0.2834	0.4498
115.0	0.2787	0.5356
120.0	0.2739	0.6145
125.0	0.26899999999999996	0.6867
130.0	0.264	0.7527
132.3	0.2617	0.7811
135.0	0.259	0.8129
140.0	0.2539	0.8677
145.0	0.2487	0.9178
150.0	0.2436	0.9635
151.4	0.2422	0.9755
155.0	0.2385	1.005
160.0	0.2334	1.044
165.0	0.2285	1.079
170.0	0.2236	1.111
175.0	0.2187	1.1420000000000001
180.0	0.214	1.17
185.0	0.2094	1.196
190.0	0.2049	1.22
195.0	0.2004	1.2429999999999999
200.0	0.1961	1.264
205.0	0.1918	1.284
210.0	0.1876	1.3030000000000002
215.0	0.1835	1.32
220.0	0.1795	1.337
225.0	0.1756	1.3530000000000002
230.0	0.1718	1.368
235.0	0.1681	1.382
240.0	0.1644	1.395
245.0	0.1609	1.4069999999999998
250.0	0.1574	1.419
255.0	0.154	1.43
260.0	0.1508	1.4409999999999998
265.0	0.1476	1.4509999999999998
270.0	0.1445	1.46
275.0	0.1414	1.469
280.0	0.1385	1.4780000000000002
285.0	0.1357	1.486
290.0	0.1329	1.494
295.0	0.1302	1.501
300.0	0.1276	1.508
305.0	0.125	1.515
310.0	0.1226	1.521
315.0	0.1202	1.528
340.0	0.109	1.554
360.0	0.1011	1.5719999999999998
380.0	0.09392	1.587
400.0	0.08746	1.6
420.0	0.08162	1.611
440.0	0.07633999999999999	1.62
460.0	0.07153999999999999	1.6280000000000001
480.0	0.06715	1.635
500.0	0.06312000000000001	1.641
520.0	0.05942000000000001	1.646
540.0	0.056010000000000004	1.65
560.0	0.05287000000000001	1.653
580.0	0.049980000000000004	1.656
600.0	0.0473	1.6580000000000001
620.0	0.04483	1.66
640.0	0.04253	1.662
660.0	0.040389999999999995	1.663
680.0	0.0384	1.6640000000000001
700.0	0.036539999999999996	1.6640000000000001
720.0	0.0348	1.665
740.0	0.03318	1.665
760.0	0.03166	1.665
780.0	0.030239999999999996	1.6640000000000001
800.0	0.0289	1.6640000000000001
850.0	0.0259	1.662
900.0	0.02331	1.659
950.0	0.02105	1.656
1000.0	0.01909	1.652
1041.0	0.01766	1.649
1050.0	0.01736	1.6480000000000001
1100.0	0.01584	1.6440000000000001
1150.0	0.014490000000000001	1.639
1200.0	0.0133	1.6340000000000001
1250.0	0.01223	1.629
1253.6	0.012159999999999999	1.629
1300.0	0.01128	1.624
1350.0	0.01042	1.618
1400.0	0.009647	1.6130000000000002
1450.0	0.00895	1.607
1486.6	0.00848	1.6030000000000002
1500.0	0.008318	1.6019999999999999
