Energy [eV]	Cross Section	Asymmetry Parameter
275.0	0.3805	0.1922
280.0	0.3319	0.09652999999999999
285.0	0.306	0.08474
290.0	0.29	0.1788
295.0	0.2804	0.2804
300.0	0.2764	0.2665
305.0	0.2768	0.1522
310.0	0.2808	-0.020309999999999998
315.0	0.2876	-0.215
320.0	0.2965	-0.40399999999999997
325.0	0.3069	-0.5697
330.0	0.3183	-0.7041
335.0	0.3306	-0.8061
340.0	0.3436	-0.8784
345.0	0.3572	-0.9249
350.0	0.3716	-0.9499
355.0	0.3865	-0.9575
360.0	0.4018	-0.9509
365.0	0.4173	-0.9333
370.0	0.4328	-0.9071
375.0	0.4481	-0.8745
380.0	0.4631	-0.8371
385.0	0.4777	-0.7966
390.0	0.4916	-0.7538
395.0	0.5051	-0.7096
400.0	0.5179	-0.6648
405.0	0.5302	-0.6196
410.0	0.5421	-0.5745
415.0	0.5534	-0.5297
420.0	0.5643	-0.4854
425.0	0.5748	-0.4418
430.0	0.5849	-0.39899999999999997
435.0	0.5945	-0.3571
440.0	0.6037	-0.3162
445.0	0.6123	-0.2763
450.0	0.6206	-0.2375
455.0	0.6283	-0.1998
460.0	0.6355	-0.1633
465.0	0.6421	-0.1279
470.0	0.6483	-0.09372
475.0	0.654	-0.06062000000000001
480.0	0.6593	-0.028610000000000003
485.0	0.6641	0.002341
490.0	0.6685	0.03229
495.0	0.6725	0.061279999999999994
500.0	0.6761	0.08937
505.0	0.6794	0.1166
510.0	0.6824	0.14300000000000002
515.0	0.6851	0.1686
520.0	0.6875	0.1935
525.0	0.6897	0.2177
530.0	0.6915	0.2411
535.0	0.6932	0.264
540.0	0.6945	0.2862
545.0	0.6956	0.3077
550.0	0.6964	0.3287
555.0	0.6970000000000001	0.3491
560.0	0.6973	0.3689
565.0	0.6975	0.3882
570.0	0.6973	0.4069
580.0	0.6965	0.4428
600.0	0.6925	0.5087
620.0	0.6861	0.5678
640.0	0.6781	0.6211
660.0	0.6686	0.6697
680.0	0.6578	0.7140000000000001
700.0	0.6459999999999999	0.7547
720.0	0.6333	0.7919
740.0	0.6201	0.826
760.0	0.6065	0.8573
780.0	0.5927	0.8862
800.0	0.5789	0.9129999999999999
850.0	0.5441	0.972
900.0	0.5099	1.022
950.0	0.4772	1.063
1000.0	0.4462	1.099
1041.0	0.42200000000000004	1.124
1050.0	0.4169	1.13
1100.0	0.3896	1.156
1150.0	0.3642	1.179
1200.0	0.3406	1.199
1250.0	0.3186	1.216
1253.6	0.3171	1.217
1300.0	0.2984	1.2309999999999999
1350.0	0.2796	1.244
1400.0	0.2622	1.256
1450.0	0.2461	1.266
1486.6	0.235	1.273
1500.0	0.2312	1.275
