Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.3599	2
15.0	0.3673	2
16.7	0.3477	2
20.0	0.3081	2
21.2	0.2946	2
25.0	0.2571	2
26.8	0.2419	2
30.0	0.2184	2
35.0	0.1885	2
40.0	0.1646	2
40.8	0.1612	2
45.0	0.145	2
50.0	0.1285	2
55.0	0.1144	2
60.0	0.1022	2
65.0	0.0918	2
70.0	0.08277999999999999	2
75.0	0.07497000000000001	2
80.0	0.0682	2
85.0	0.062310000000000004	2
90.0	0.057170000000000006	2
95.0	0.05267	2
100.0	0.04871	2
105.0	0.0452	2
110.0	0.042089999999999995	2
115.0	0.0393	2
120.0	0.03681	2
125.0	0.03456	2
130.0	0.03252	2
132.3	0.03165	2
135.0	0.030680000000000002	2
140.0	0.028999999999999998	2
145.0	0.027469999999999998	2
150.0	0.026080000000000002	2
151.4	0.025710000000000004	2
155.0	0.0248	2
160.0	0.02363	2
165.0	0.02255	2
170.0	0.02155	2
175.0	0.020630000000000003	2
180.0	0.019780000000000002	2
185.0	0.01898	2
190.0	0.01825	2
195.0	0.01755	2
200.0	0.016909999999999998	2
205.0	0.0163	2
210.0	0.015719999999999998	2
215.0	0.01518	2
220.0	0.01466	2
225.0	0.014180000000000002	2
230.0	0.01371	2
235.0	0.013269999999999999	2
240.0	0.01284	2
245.0	0.012440000000000001	2
250.0	0.01206	2
255.0	0.01169	2
260.0	0.011340000000000001	2
265.0	0.011000000000000001	2
270.0	0.01068	2
275.0	0.01037	2
280.0	0.01007	2
285.0	0.009787	2
290.0	0.009515000000000001	2
295.0	0.009255	2
300.0	0.009004999999999999	2
305.0	0.008766	2
320.0	0.008104	2
340.0	0.007336	2
360.0	0.0066760000000000005	2
380.0	0.0061070000000000004	2
400.0	0.005612	2
420.0	0.005181	2
440.0	0.004803	2
460.0	0.004468	2
480.0	0.00417	2
500.0	0.003901	2
520.0	0.003657	2
540.0	0.003436	2
560.0	0.0032329999999999998	2
580.0	0.003048	2
600.0	0.002879	2
620.0	0.002724	2
640.0	0.002581	2
660.0	0.00245	2
680.0	0.002329	2
700.0	0.0022170000000000002	2
720.0	0.002114	2
740.0	0.002018	2
760.0	0.001929	2
780.0	0.001847	2
800.0	0.0017699999999999999	2
850.0	0.001598	2
900.0	0.001451	2
950.0	0.001323	2
1000.0	0.001212	2
1041.0	0.0011300000000000001	2
1050.0	0.001114	2
1100.0	0.0010279999999999998	2
1150.0	0.0009517999999999999	2
1200.0	0.0008846	2
1250.0	0.0008247	2
1253.6	0.0008206	2
1300.0	0.0007708	2
1350.0	0.0007221	2
1400.0	0.0006778999999999999	2
1450.0	0.0006376	2
1486.6	0.0006102999999999999	2
1500.0	0.0006007	2
