Energy [eV]	Cross Section	Asymmetry Parameter
600.0	0.1456	2
620.0	0.1362	2
640.0	0.1325	2
660.0	0.1288	2
680.0	0.1241	2
700.0	0.1194	2
720.0	0.1151	2
740.0	0.1111	2
760.0	0.1074	2
780.0	0.1038	2
800.0	0.1002	2
850.0	0.09205	2
900.0	0.08492999999999999	2
950.0	0.0785	2
1000.0	0.07271	2
1041.0	0.06844	2
1050.0	0.06756000000000001	2
1100.0	0.06292	2
1150.0	0.0587	2
1200.0	0.05488	2
1250.0	0.05143	2
1253.6	0.05119	2
1300.0	0.04828	2
1350.0	0.0454	2
1400.0	0.04276	2
1450.0	0.04035	2
1486.6	0.03871	2
1500.0	0.038130000000000004	2
