Energy [eV]	Cross Section	Asymmetry Parameter
16.7	16.1	-0.2469
20.0	20.8	-0.1468
21.2	22.55	-0.09492
25.0	27.93	0.07756
26.8	30.18	0.1576
30.0	33.14	0.2931
35.0	33.54	0.4871
40.0	28.82	0.6637
40.8	27.77	0.6907
45.0	21.89	0.8285
50.0	15.45	0.9868
55.0	10.46	1.143
60.0	6.891	1.301
65.0	4.445	1.462
70.0	2.813	1.626
75.0	1.75	1.787
80.0	1.074	1.926
85.0	0.657	1.9980000000000002
90.0	0.4087	1.912
95.0	0.2696	1.546
100.0	0.1999	0.8614
105.0	0.1739	0.08133
110.0	0.1747	-0.4705
115.0	0.1914	-0.7038
120.0	0.2169	-0.7204
125.0	0.2466	-0.6332
130.0	0.2775	-0.5087
132.3	0.2916	-0.4484
135.0	0.3079	-0.3781
140.0	0.3364	-0.254
145.0	0.3625	-0.1405
150.0	0.3858	-0.03846
151.4	0.3918	-0.01187
155.0	0.4062	0.052820000000000006
160.0	0.4238	0.1345
165.0	0.4386	0.2078
170.0	0.4508	0.2739
175.0	0.4608	0.3337
180.0	0.4686	0.38799999999999996
185.0	0.4745	0.4377
190.0	0.4788	0.4832
195.0	0.4815	0.5252
200.0	0.4828	0.564
205.0	0.483	0.6
210.0	0.4821	0.6336
215.0	0.4803	0.665
220.0	0.4777	0.6944
225.0	0.4743	0.7219
230.0	0.4702	0.7479
235.0	0.4656	0.7723
240.0	0.4605	0.7954
245.0	0.455	0.8172
250.0	0.4491	0.8378
255.0	0.4429	0.8574
260.0	0.4365	0.8759999999999999
265.0	0.4298	0.8936
270.0	0.423	0.9103
275.0	0.4161	0.9262
280.0	0.4091	0.9414
285.0	0.402	0.9558
290.0	0.3949	0.9696
295.0	0.3878	0.9827
300.0	0.3808	0.9953
305.0	0.3737	1.0070000000000001
310.0	0.3668	1.0190000000000001
320.0	0.353	1.04
340.0	0.3265	1.078
360.0	0.3015	1.111
380.0	0.2782	1.139
400.0	0.2567	1.163
420.0	0.2368	1.1840000000000002
440.0	0.2187	1.202
460.0	0.2021	1.218
480.0	0.187	1.232
500.0	0.1733	1.244
520.0	0.1607	1.254
540.0	0.1492	1.263
560.0	0.1387	1.271
580.0	0.129	1.278
600.0	0.1202	1.284
620.0	0.1121	1.2890000000000001
640.0	0.1047	1.2930000000000001
660.0	0.09792999999999999	1.297
680.0	0.09168	1.2990000000000002
700.0	0.08592999999999999	1.3019999999999998
720.0	0.08062000000000001	1.304
740.0	0.07572999999999999	1.305
760.0	0.0712	1.306
780.0	0.06702000000000001	1.307
800.0	0.06314	1.307
850.0	0.05464	1.307
900.0	0.04755	1.305
950.0	0.04161	1.3019999999999998
1000.0	0.03658	1.297
1041.0	0.03302	1.294
1050.0	0.0323	1.2930000000000001
1100.0	0.02864	1.287
1150.0	0.0255	1.281
1200.0	0.02278	1.275
1250.0	0.020419999999999997	1.268
1253.6	0.02026	1.2670000000000001
1300.0	0.018369999999999997	1.261
1350.0	0.016569999999999998	1.254
1400.0	0.01499	1.246
1450.0	0.013590000000000001	1.239
1486.6	0.01268	1.2329999999999999
1500.0	0.01236	1.2309999999999999
