Energy [eV]	Cross Section	Asymmetry Parameter
55.0	2.653	1.011
60.0	2.189	1.8659999999999999
65.0	1.629	1.766
70.0	1.206	1.496
75.0	0.9149	1.135
80.0	0.7247	0.7402
85.0	0.604	0.3762
90.0	0.5289	0.09193
95.0	0.4827	-0.09343
100.0	0.4547	-0.1874
105.0	0.4378	-0.2105
110.0	0.4278	-0.1844
115.0	0.42200000000000004	-0.1272
120.0	0.4188	-0.052000000000000005
125.0	0.4169	0.03238
130.0	0.4158	0.1202
132.3	0.4154	0.1606
135.0	0.4149	0.2077
140.0	0.4141	0.2926
145.0	0.413	0.3737
150.0	0.4116	0.4501
151.4	0.4111	0.4706
155.0	0.4098	0.5216
160.0	0.4075	0.588
165.0	0.4048	0.6496
170.0	0.4017	0.7065
175.0	0.3983	0.759
180.0	0.3945	0.8076
185.0	0.3905	0.8524
190.0	0.3862	0.8939
195.0	0.3817	0.9323
200.0	0.3771	0.968
205.0	0.3724	1.001
210.0	0.3675	1.032
215.0	0.3627	1.061
220.0	0.3577	1.088
225.0	0.3527	1.114
230.0	0.3477	1.138
235.0	0.3427	1.161
240.0	0.3377	1.182
245.0	0.3326	1.203
250.0	0.3276	1.222
255.0	0.3226	1.24
260.0	0.3176	1.258
265.0	0.3126	1.274
270.0	0.3077	1.29
275.0	0.3028	1.305
280.0	0.298	1.319
285.0	0.2932	1.3330000000000002
290.0	0.2885	1.3459999999999999
295.0	0.2838	1.358
300.0	0.2792	1.37
305.0	0.2747	1.381
310.0	0.2703	1.392
315.0	0.2659	1.402
320.0	0.2616	1.412
325.0	0.2574	1.421
330.0	0.2533	1.43
335.0	0.2492	1.439
340.0	0.2453	1.4469999999999998
345.0	0.2414	1.455
350.0	0.2376	1.462
360.0	0.2302	1.4769999999999999
380.0	0.2162	1.5019999999999998
400.0	0.2033	1.524
420.0	0.1913	1.544
440.0	0.1801	1.56
460.0	0.1699	1.575
480.0	0.1603	1.588
500.0	0.1516	1.6
520.0	0.1434	1.61
540.0	0.1359	1.619
560.0	0.1289	1.6269999999999998
580.0	0.1224	1.6340000000000001
600.0	0.1163	1.64
620.0	0.1106	1.645
640.0	0.1053	1.65
660.0	0.1004	1.655
680.0	0.09576	1.659
700.0	0.09143	1.662
720.0	0.08738	1.665
740.0	0.08357	1.6680000000000001
760.0	0.07998999999999999	1.67
780.0	0.07662000000000001	1.672
800.0	0.07345	1.6740000000000002
850.0	0.06627000000000001	1.6769999999999998
900.0	0.06005	1.679
950.0	0.05462	1.68
1000.0	0.04986	1.68
1041.0	0.04639	1.679
1050.0	0.04567	1.679
1100.0	0.04195	1.6780000000000002
1150.0	0.03864	1.676
1200.0	0.03569	1.6740000000000002
1250.0	0.03304	1.672
1253.6	0.03286	1.672
1300.0	0.030660000000000003	1.669
1350.0	0.02851	1.666
1400.0	0.02657	1.663
1450.0	0.0248	1.66
1486.6	0.02361	1.6569999999999998
1500.0	0.0232	1.656
