Energy [eV]	Cross Section	Asymmetry Parameter
60.0	1.9409999999999998	0.8983
62.0	8.953	1.4
63.0	17.99	1.232
64.0	39.93	0.9711
65.0	92.05	0.7526
65.0	92.05	0.7526
70.0	67.42	0.4328
72.0	45.3	0.4648
75.0	30.92	0.5601
80.0	20.61	0.7574
85.0	15.05	0.9559
90.0	11.25	1.14
95.0	8.484	1.304
100.0	6.4670000000000005	1.449
105.0	4.995	1.575
110.0	3.912	1.685
115.0	3.103	1.778
120.0	2.49	1.8559999999999999
125.0	2.017	1.9180000000000001
130.0	1.646	1.964
132.3	1.504	1.9780000000000002
135.0	1.354	1.99
140.0	1.121	1.996
145.0	0.9353	1.979
150.0	0.7862	1.9369999999999998
151.4	0.75	1.921
155.0	0.6665	1.869
160.0	0.5704	1.7730000000000001
165.0	0.4932	1.651
170.0	0.4311	1.504
175.0	0.3813	1.335
180.0	0.3414	1.148
185.0	0.3095	0.9505
190.0	0.2841	0.7478
195.0	0.264	0.5472
200.0	0.2483	0.355
205.0	0.2361	0.1768
210.0	0.2268	0.01678
215.0	0.2198	-0.1223
220.0	0.2147	-0.2394
225.0	0.2111	-0.3345
230.0	0.2088	-0.4088
235.0	0.2075	-0.4641
240.0	0.2069	-0.5026
245.0	0.2069	-0.5264
250.0	0.2074	-0.5379
255.0	0.2082	-0.539
260.0	0.2093	-0.5316
265.0	0.2106	-0.5173
270.0	0.212	-0.4974
275.0	0.2135	-0.4732
280.0	0.2151	-0.4456
285.0	0.2166	-0.4153
290.0	0.2182	-0.3832
295.0	0.2197	-0.3497
300.0	0.2212	-0.3153
305.0	0.2226	-0.2804
310.0	0.2239	-0.2453
315.0	0.2251	-0.2102
320.0	0.2262	-0.1754
325.0	0.2273	-0.141
330.0	0.2282	-0.1071
335.0	0.22899999999999998	-0.07392
340.0	0.2298	-0.04142
345.0	0.2304	-0.009673000000000001
350.0	0.2309	0.02128
355.0	0.2313	0.05143
360.0	0.2316	0.08077000000000001
380.0	0.2319	0.1902
400.0	0.2311	0.28800000000000003
420.0	0.2291	0.3755
440.0	0.2263	0.4539
460.0	0.2228	0.5243
480.0	0.2188	0.5874
500.0	0.2143	0.6442
520.0	0.2096	0.6955
540.0	0.2047	0.742
560.0	0.1996	0.7845
580.0	0.1945	0.8235
600.0	0.1894	0.8592
620.0	0.1843	0.892
640.0	0.1792	0.9223
660.0	0.1742	0.9502
680.0	0.1693	0.9761
700.0	0.1645	1.0
720.0	0.1598	1.022
740.0	0.1552	1.043
760.0	0.1507	1.063
780.0	0.1464	1.081
800.0	0.1422	1.0979999999999999
850.0	0.1322	1.135
900.0	0.1231	1.168
950.0	0.1146	1.196
1000.0	0.1069	1.22
1041.0	0.10099999999999999	1.237
1050.0	0.09976	1.2409999999999999
1100.0	0.09324	1.2590000000000001
1150.0	0.08725	1.275
1200.0	0.08173	1.2890000000000001
1250.0	0.07667	1.301
1253.6	0.07632	1.3019999999999998
1300.0	0.07200000000000001	1.3119999999999998
1350.0	0.0677	1.3219999999999998
1400.0	0.06373	1.33
1450.0	0.06005	1.337
1486.6	0.05752	1.3419999999999999
1500.0	0.056639999999999996	1.344
