Energy [eV]	Cross Section	Asymmetry Parameter
300.0	0.1865	1.015
305.0	0.2441	1.787
310.0	0.4104	1.939
315.0	0.8395	1.625
320.0	1.55	1.196
325.0	2.289	0.8762
330.0	2.8810000000000002	0.6634
335.0	3.3289999999999997	0.5244
340.0	3.67	0.4347
345.0	3.9210000000000003	0.3783
350.0	4.091	0.3446
355.0	4.19	0.3266
360.0	4.234	0.3199
365.0	4.239	0.3211
370.0	4.217	0.3282
375.0	4.1819999999999995	0.3395
380.0	4.138999999999999	0.354
385.0	4.092	0.3707
390.0	4.045	0.3889
395.0	3.997	0.4082
400.0	3.948	0.4282
405.0	3.897	0.4485
410.0	3.845	0.4689
415.0	3.79	0.4892
420.0	3.734	0.5092
425.0	3.676	0.5288
430.0	3.617	0.5481
435.0	3.556	0.5669
440.0	3.495	0.5851
445.0	3.4339999999999997	0.6029
450.0	3.3739999999999997	0.6201
455.0	3.3139999999999996	0.6369
460.0	3.255	0.6531
465.0	3.197	0.6689
470.0	3.141	0.6842
475.0	3.085	0.6991
480.0	3.03	0.7136
485.0	2.977	0.7276
490.0	2.924	0.7413
495.0	2.872	0.7545
500.0	2.821	0.7674
505.0	2.77	0.78
510.0	2.72	0.7921
515.0	2.6710000000000003	0.804
520.0	2.622	0.8154
525.0	2.574	0.8266
530.0	2.5269999999999997	0.8374
535.0	2.48	0.8479
540.0	2.434	0.8581
545.0	2.3890000000000002	0.868
550.0	2.344	0.8775
555.0	2.301	0.8868
560.0	2.258	0.8958
565.0	2.2159999999999997	0.9046
570.0	2.175	0.9131
575.0	2.135	0.9213
580.0	2.096	0.9293
585.0	2.0580000000000003	0.9371
590.0	2.02	0.9446
595.0	1.984	0.9519
600.0	1.9480000000000002	0.9591
620.0	1.8119999999999998	0.9857
640.0	1.686	1.01
660.0	1.57	1.031
680.0	1.462	1.05
700.0	1.3630000000000002	1.068
720.0	1.273	1.084
740.0	1.189	1.0979999999999999
760.0	1.113	1.111
780.0	1.042	1.122
800.0	0.9771	1.133
850.0	0.8346	1.1540000000000001
900.0	0.7173	1.171
950.0	0.6202	1.1840000000000002
1000.0	0.5391	1.194
1041.0	0.4823	1.2
1050.0	0.4708	1.2009999999999998
1100.0	0.4132	1.206
1150.0	0.3644	1.209
1200.0	0.3226	1.21
1250.0	0.2866	1.2109999999999999
1253.6	0.2842	1.2109999999999999
1300.0	0.2556	1.21
1350.0	0.2287	1.208
1400.0	0.2053	1.206
1450.0	0.1849	1.203
1486.6	0.1715	1.2
1500.0	0.1669	1.199
