Energy [eV]	Cross Section	Asymmetry Parameter
460.0	0.7891	-0.04793
480.0	0.6374	0.1107
500.0	0.626	0.4287
520.0	0.6031	0.6309
540.0	0.5881	0.7847
560.0	0.5720000000000001	0.9076
580.0	0.5537	1.005
600.0	0.5358	1.082
620.0	0.5193	1.145
640.0	0.5035	1.198
660.0	0.4877	1.244
680.0	0.4718	1.284
700.0	0.4561	1.318
720.0	0.441	1.348
740.0	0.4266	1.374
760.0	0.4128	1.3969999999999998
780.0	0.3993	1.4169999999999998
800.0	0.3863	1.435
850.0	0.3552	1.473
900.0	0.3271	1.5030000000000001
950.0	0.3018	1.526
1000.0	0.2786	1.544
1041.0	0.2611	1.556
1050.0	0.2575	1.5590000000000002
1100.0	0.2385	1.57
1150.0	0.2213	1.579
1200.0	0.2056	1.587
1250.0	0.1913	1.5919999999999999
1253.6	0.1903	1.5930000000000002
1300.0	0.1783	1.597
1350.0	0.1664	1.6
1400.0	0.1556	1.6030000000000002
1450.0	0.1456	1.604
1486.6	0.1389	1.605
1500.0	0.1365	1.605
