Energy [eV]	Cross Section	Asymmetry Parameter
16.7	18.17	1.689
20.0	6.3020000000000005	1.85
21.2	4.329	1.85
25.0	1.47	1.515
26.8	0.9717	1.127
30.0	0.5974	0.2712
35.0	0.5138	-0.2378
40.0	0.5873	0.06697
40.8	0.6017	0.1285
45.0	0.6722	0.424
50.0	0.7338	0.6928
55.0	0.7672	0.8872
60.0	0.7761	1.03
65.0	0.7666	1.139
70.0	0.7443	1.222
75.0	0.7140000000000001	1.2890000000000001
80.0	0.6795	1.3419999999999999
85.0	0.6433	1.385
90.0	0.6069	1.421
95.0	0.5715	1.45
100.0	0.5377	1.475
105.0	0.5056	1.496
110.0	0.4754	1.514
115.0	0.4471	1.5290000000000001
120.0	0.4205	1.5430000000000001
125.0	0.3958	1.554
130.0	0.3726	1.564
132.3	0.3624	1.568
135.0	0.3509	1.5719999999999998
140.0	0.3307	1.58
145.0	0.3118	1.5859999999999999
150.0	0.2942	1.5919999999999999
151.4	0.2895	1.5930000000000002
155.0	0.2778	1.597
160.0	0.2624	1.601
165.0	0.2482	1.604
170.0	0.2349	1.607
175.0	0.2225	1.61
180.0	0.21100000000000002	1.6119999999999999
185.0	0.2002	1.6130000000000002
190.0	0.1902	1.615
195.0	0.1809	1.6159999999999999
200.0	0.1722	1.6159999999999999
205.0	0.1641	1.617
210.0	0.1565	1.617
215.0	0.1493	1.617
220.0	0.1426	1.617
225.0	0.1363	1.6159999999999999
230.0	0.1304	1.6159999999999999
235.0	0.1248	1.615
240.0	0.1196	1.614
245.0	0.1146	1.6130000000000002
250.0	0.1099	1.6119999999999999
255.0	0.1054	1.611
260.0	0.1012	1.61
265.0	0.09717999999999999	1.608
270.0	0.09337000000000001	1.607
275.0	0.08975	1.605
280.0	0.08631	1.604
285.0	0.08304	1.6019999999999999
290.0	0.07992	1.6
295.0	0.07696	1.598
300.0	0.07413	1.5959999999999999
305.0	0.07144	1.595
310.0	0.06888	1.5919999999999999
320.0	0.0641	1.588
340.0	0.05579	1.579
360.0	0.04885	1.57
380.0	0.043019999999999996	1.56
400.0	0.03808	1.5490000000000002
420.0	0.03386	1.5390000000000001
440.0	0.03023	1.5290000000000001
460.0	0.027110000000000002	1.518
480.0	0.0244	1.508
500.0	0.02204	1.4980000000000002
520.0	0.01998	1.4869999999999999
540.0	0.01817	1.4769999999999999
560.0	0.016569999999999998	1.4669999999999999
580.0	0.01515	1.4569999999999999
600.0	0.013890000000000001	1.4480000000000002
620.0	0.012759999999999999	1.4380000000000002
640.0	0.01174	1.429
660.0	0.01082	1.419
680.0	0.009999	1.41
700.0	0.009252	1.401
720.0	0.008576	1.392
740.0	0.007961	1.383
760.0	0.007402	1.374
780.0	0.006893000000000001	1.365
800.0	0.006428	1.3559999999999999
850.0	0.005429	1.335
900.0	0.004621	1.314
950.0	0.003963	1.2930000000000001
1000.0	0.003423	1.273
1041.0	0.0030489999999999996	1.258
1050.0	0.0029739999999999996	1.254
1100.0	0.002598	1.235
1150.0	0.00228	1.217
1200.0	0.00201	1.2
1250.0	0.0017800000000000001	1.183
1253.6	0.0017640000000000002	1.182
1300.0	0.001582	1.166
1350.0	0.001411	1.15
1400.0	0.001263	1.1340000000000001
1450.0	0.001135	1.1179999999999999
1486.6	0.001051	1.107
1500.0	0.001023	1.103
