Energy [eV]	Cross Section	Asymmetry Parameter
10.2	2.112	0.1865
15.0	2.8739999999999997	0.1087
16.7	3.0180000000000002	0.1471
20.0	3.137	0.2318
21.2	3.134	0.2626
25.0	3.0010000000000003	0.3548
26.8	2.892	0.3952
30.0	2.667	0.4618
35.0	2.299	0.5539999999999999
40.0	1.9669999999999999	0.6343
40.8	1.919	0.6462
45.0	1.6840000000000002	0.7051
50.0	1.442	0.7681
55.0	1.235	0.8244
60.0	1.0590000000000002	0.8749
65.0	0.9078	0.92
70.0	0.7805	0.9603
75.0	0.6736	0.9964
80.0	0.5842	1.0290000000000001
85.0	0.5094	1.057
90.0	0.4465	1.083
95.0	0.3933	1.1059999999999999
100.0	0.3481	1.127
105.0	0.3092	1.146
110.0	0.2757	1.162
115.0	0.2466	1.178
120.0	0.2212	1.1909999999999998
125.0	0.19899999999999998	1.203
130.0	0.1795	1.214
132.3	0.1714	1.218
135.0	0.1624	1.2229999999999999
140.0	0.1473	1.232
145.0	0.1339	1.239
150.0	0.1221	1.246
151.4	0.11900000000000001	1.248
155.0	0.1115	1.252
160.0	0.1022	1.2570000000000001
165.0	0.09376	1.261
170.0	0.08622	1.264
175.0	0.07945	1.268
180.0	0.07332999999999999	1.27
185.0	0.0678	1.272
190.0	0.06279	1.274
195.0	0.05824	1.275
200.0	0.05409	1.276
205.0	0.05031	1.276
210.0	0.04687	1.276
215.0	0.04371	1.276
220.0	0.04083	1.275
225.0	0.03818	1.275
230.0	0.03576	1.274
235.0	0.03352	1.273
240.0	0.03147	1.271
245.0	0.02957	1.27
250.0	0.027819999999999998	1.268
255.0	0.0262	1.266
260.0	0.0247	1.264
265.0	0.0233	1.262
270.0	0.02201	1.2590000000000001
275.0	0.0208	1.2570000000000001
280.0	0.01968	1.254
285.0	0.01864	1.252
290.0	0.01766	1.249
295.0	0.01674	1.246
300.0	0.01589	1.2429999999999999
305.0	0.015090000000000001	1.24
320.0	0.012980000000000002	1.2309999999999999
340.0	0.010709999999999999	1.218
360.0	0.00892	1.204
380.0	0.007494	1.19
400.0	0.006344	1.175
420.0	0.005408	1.16
440.0	0.004639	1.146
460.0	0.0040030000000000005	1.131
480.0	0.003474	1.117
500.0	0.00303	1.102
520.0	0.002656	1.088
540.0	0.002337	1.074
560.0	0.002065	1.061
580.0	0.001831	1.047
600.0	0.001629	1.034
620.0	0.0014550000000000001	1.022
640.0	0.001303	1.0090000000000001
660.0	0.0011710000000000002	0.9972
680.0	0.0010550000000000002	0.9853
700.0	0.0009525	0.9738
720.0	0.0008625	0.9625
740.0	0.0007829	0.9515
760.0	0.0007122000000000001	0.9409
780.0	0.0006494	0.9305
800.0	0.0005934	0.9204
850.0	0.00047750000000000006	0.8963
900.0	0.0003884	0.8738
950.0	0.000319	0.8527
1000.0	0.00026430000000000003	0.8329
1041.0	0.00022789999999999998	0.8175
1050.0	0.0002207	0.8143
1100.0	0.0001857	0.7967
1150.0	0.00015730000000000003	0.7802
1200.0	0.0001341	0.7645
1250.0	0.0001149	0.7496
1253.6	0.0001137	0.7485
1300.0	9.904e-05	0.7354
1350.0	8.573e-05	0.7218
1400.0	7.456e-05	0.7090000000000001
1450.0	6.509e-05	0.6965
1486.6	5.909e-05	0.6877
1500.0	5.708e-05	0.6846
