Energy [eV]	Cross Section	Asymmetry Parameter
25.0	0.04718	2
26.86	0.08101	2
30.0	0.1341	2
35.0	0.1967	2
40.0	0.2332	2
40.81	0.2371	2
45.0	0.2503	2
50.0	0.2545	2
55.0	0.2505	2
60.0	0.2417	2
65.0	0.2303	2
70.0	0.2178	2
75.0	0.2052	2
80.0	0.193	2
85.0	0.1814	2
90.0	0.1706	2
95.0	0.1606	2
100.0	0.1514	2
105.0	0.14300000000000002	2
110.0	0.1352	2
115.0	0.128	2
120.0	0.1213	2
125.0	0.1152	2
130.0	0.1094	2
132.3	0.1069	2
135.0	0.1041	2
140.0	0.09916	2
145.0	0.09452999999999999	2
150.0	0.09021	2
151.4	0.08905	2
155.0	0.08617000000000001	2
160.0	0.0824	2
165.0	0.07887999999999999	2
170.0	0.07558	2
175.0	0.07249	2
180.0	0.06961	2
185.0	0.0669	2
190.0	0.06437000000000001	2
195.0	0.061989999999999996	2
200.0	0.05975	2
205.0	0.05766	2
210.0	0.05567999999999999	2
215.0	0.053810000000000004	2
220.0	0.05205	2
225.0	0.05038	2
230.0	0.04879	2
235.0	0.04729	2
240.0	0.045860000000000005	2
245.0	0.044489999999999995	2
250.0	0.04319	2
255.0	0.04195	2
260.0	0.040760000000000005	2
265.0	0.039619999999999995	2
270.0	0.03852	2
275.0	0.037469999999999996	2
280.0	0.036469999999999995	2
285.0	0.0355	2
290.0	0.03457	2
295.0	0.03368	2
300.0	0.03282	2
305.0	0.032	2
310.0	0.0312	2
315.0	0.03044	2
340.0	0.02702	2
360.0	0.02471	2
380.0	0.0227	2
400.0	0.02093	2
420.0	0.01937	2
440.0	0.01798	2
460.0	0.01674	2
480.0	0.015619999999999998	2
500.0	0.01462	2
520.0	0.01372	2
540.0	0.01291	2
560.0	0.012159999999999999	2
580.0	0.01149	2
600.0	0.01087	2
620.0	0.01029	2
640.0	0.009762	2
660.0	0.009272	2
680.0	0.008817	2
700.0	0.008394	2
720.0	0.008002	2
740.0	0.0076370000000000006	2
760.0	0.0072959999999999995	2
780.0	0.006979000000000001	2
800.0	0.006681	2
850.0	0.0060149999999999995	2
900.0	0.005443	2
950.0	0.004949	2
1000.0	0.004522	2
1041.0	0.004211	2
1050.0	0.004148	2
1100.0	0.003817	2
1150.0	0.0035229999999999997	2
1200.0	0.0032619999999999997	2
1250.0	0.0030280000000000003	2
1253.6	0.003012	2
1300.0	0.0028179999999999998	2
1350.0	0.002629	2
1400.0	0.0024579999999999997	2
1450.0	0.002304	2
1486.6	0.002199	2
1500.0	0.002163	2
