Energy [eV]	Cross Section	Asymmetry Parameter
16.71	0.4792	1.455
20.0	0.6004	1.903
21.22	0.6745	1.913
25.0	0.9989	1.7
26.86	1.204	1.551
30.0	1.595	1.314
35.0	2.263	1.021
40.0	2.8989999999999996	0.8221
40.81	2.9960000000000004	0.7967
45.0	3.468	0.687
50.0	3.966	0.5927
55.0	4.385	0.5248
60.0	4.71	0.4752
65.0	4.937	0.4386
70.0	5.074	0.4119
75.0	5.143	0.3929
80.0	5.162999999999999	0.38
85.0	5.151	0.3719
90.0	5.1160000000000005	0.3676
95.0	5.063	0.3663
100.0	4.993	0.3673
105.0	4.909	0.3702
110.0	4.811	0.3747
115.0	4.703	0.3804
120.0	4.588	0.3871
125.0	4.468999999999999	0.3948
130.0	4.3469999999999995	0.4032
132.3	4.291	0.4073
135.0	4.225	0.4122
140.0	4.104	0.4217
145.0	3.983	0.4316
150.0	3.862	0.4418
151.4	3.8289999999999997	0.4447
155.0	3.7430000000000003	0.4522
160.0	3.6239999999999997	0.4628
165.0	3.5069999999999997	0.4734
170.0	3.392	0.4841
175.0	3.278	0.4948
180.0	3.168	0.5055
185.0	3.06	0.5162
190.0	2.9560000000000004	0.5269
195.0	2.8539999999999996	0.5375
200.0	2.7560000000000002	0.5479999999999999
205.0	2.662	0.5585
210.0	2.57	0.5689
215.0	2.481	0.5792
220.0	2.395	0.5894
225.0	2.312	0.5994
230.0	2.231	0.6094
235.0	2.154	0.6191
240.0	2.0780000000000003	0.6287
245.0	2.006	0.6382
250.0	1.936	0.6475
255.0	1.869	0.6567
260.0	1.804	0.6656
265.0	1.742	0.6745
270.0	1.682	0.6832
275.0	1.624	0.6917
280.0	1.569	0.7001
285.0	1.515	0.7083
290.0	1.464	0.7164
295.0	1.415	0.7243
300.0	1.367	0.7321
305.0	1.321	0.7398
310.0	1.2770000000000001	0.7473
320.0	1.194	0.7619
340.0	1.045	0.7895
360.0	0.9181	0.8148
380.0	0.809	0.8382
400.0	0.7149	0.8597
420.0	0.6336	0.8795
440.0	0.5632	0.8978
460.0	0.5022	0.9145
480.0	0.4491	0.9299
500.0	0.4027	0.9440000000000001
520.0	0.36200000000000004	0.9569
540.0	0.3262	0.9688
560.0	0.2948	0.9796
580.0	0.267	0.9895
600.0	0.2423	0.9985
620.0	0.2204	1.0070000000000001
640.0	0.2009	1.014
660.0	0.1835	1.021
680.0	0.168	1.0270000000000001
700.0	0.154	1.033
720.0	0.1414	1.038
740.0	0.1301	1.042
760.0	0.1199	1.046
780.0	0.1107	1.05
800.0	0.1023	1.053
850.0	0.08454	1.0590000000000002
900.0	0.07046000000000001	1.063
950.0	0.05917000000000001	1.0659999999999998
1000.0	0.05005	1.067
1041.0	0.04383	1.0659999999999998
1050.0	0.0426	1.0659999999999998
1100.0	0.036469999999999995	1.065
1150.0	0.03141	1.063
1200.0	0.027180000000000003	1.06
1250.0	0.02364	1.056
1253.6	0.02341	1.056
1300.0	0.02065	1.052
1350.0	0.01811	1.048
1400.0	0.01596	1.043
1450.0	0.0141	1.038
1486.6	0.01291	1.034
1500.0	0.01251	1.032
