Energy [eV]	Cross Section	Asymmetry Parameter
315.0	0.1973	2
320.0	0.1935	2
325.0	0.1918	2
330.0	0.1904	2
335.0	0.1887	2
340.0	0.1863	2
345.0	0.1834	2
350.0	0.1802	2
355.0	0.1771	2
360.0	0.1741	2
365.0	0.1713	2
370.0	0.1687	2
375.0	0.1663	2
380.0	0.16399999999999998	2
385.0	0.1617	2
390.0	0.1594	2
395.0	0.1571	2
400.0	0.1548	2
405.0	0.1525	2
410.0	0.1503	2
415.0	0.1481	2
420.0	0.1459	2
425.0	0.1439	2
430.0	0.1419	2
435.0	0.1399	2
440.0	0.138	2
445.0	0.1361	2
450.0	0.1343	2
455.0	0.1325	2
460.0	0.1307	2
465.0	0.1289	2
470.0	0.1272	2
475.0	0.1255	2
480.0	0.1238	2
485.0	0.1221	2
490.0	0.1205	2
495.0	0.1189	2
500.0	0.1174	2
505.0	0.1159	2
510.0	0.1144	2
515.0	0.1129	2
520.0	0.1115	2
525.0	0.1101	2
530.0	0.1087	2
535.0	0.1074	2
540.0	0.106	2
545.0	0.1047	2
550.0	0.1034	2
555.0	0.1022	2
560.0	0.1009	2
565.0	0.0997	2
570.0	0.09849	2
575.0	0.0973	2
580.0	0.09614	2
585.0	0.09498999999999999	2
590.0	0.09387000000000001	2
595.0	0.09277	2
600.0	0.09169	2
605.0	0.09063	2
620.0	0.08756	2
640.0	0.08369	2
660.0	0.08006	2
680.0	0.07665	2
700.0	0.07345	2
720.0	0.07045	2
740.0	0.06763999999999999	2
760.0	0.06498	2
780.0	0.062479999999999994	2
800.0	0.060110000000000004	2
850.0	0.05475	2
900.0	0.05008	2
950.0	0.04597	2
1000.0	0.04235	2
1041.0	0.039689999999999996	2
1050.0	0.03914	2
1100.0	0.03628	2
1150.0	0.03372	2
1200.0	0.03142	2
1250.0	0.02935	2
1253.6	0.029210000000000003	2
1300.0	0.02748	2
1350.0	0.025769999999999998	2
1400.0	0.02422	2
1450.0	0.02281	2
1486.6	0.02185	2
1500.0	0.021519999999999997	2
