Energy [eV]	Cross Section	Asymmetry Parameter
510.0	0.1174	0.8882
515.0	0.3052	1.555
520.0	1.022	1.505
525.0	2.262	1.278
530.0	3.3680000000000003	1.054
535.0	4.121	0.8727
540.0	4.494	0.733
545.0	4.545	0.6283
550.0	4.416	0.5513
555.0	4.227	0.4959
560.0	4.044	0.4571
565.0	3.888	0.431
570.0	3.759	0.4145
575.0	3.6510000000000002	0.4053
580.0	3.557	0.4017
585.0	3.471	0.4023
590.0	3.39	0.406
595.0	3.313	0.4123
600.0	3.239	0.4204
605.0	3.1689999999999996	0.43
610.0	3.103	0.4409
615.0	3.0410000000000004	0.4526
620.0	2.984	0.4651
625.0	2.93	0.4782
630.0	2.8789999999999996	0.4916
635.0	2.832	0.5054
640.0	2.786	0.5193
645.0	2.742	0.5333
650.0	2.699	0.5473
655.0	2.656	0.5612
660.0	2.615	0.575
665.0	2.574	0.5885
670.0	2.533	0.6019
675.0	2.4930000000000003	0.615
680.0	2.454	0.6278
685.0	2.415	0.6404
690.0	2.378	0.6527
695.0	2.3409999999999997	0.6648
700.0	2.306	0.6766
705.0	2.271	0.6882
710.0	2.237	0.6996
715.0	2.204	0.7107
720.0	2.1719999999999997	0.7216
725.0	2.141	0.7322
730.0	2.11	0.7427
735.0	2.079	0.7529
740.0	2.05	0.763
745.0	2.02	0.7728
750.0	1.9909999999999999	0.7824
755.0	1.963	0.7918
760.0	1.9340000000000002	0.8009999999999999
765.0	1.9069999999999998	0.81
770.0	1.879	0.8187
775.0	1.8519999999999999	0.8273
780.0	1.8259999999999998	0.8357
785.0	1.8	0.8438
790.0	1.774	0.8518
795.0	1.749	0.8595
800.0	1.724	0.8671
850.0	1.501	0.9341
900.0	1.311	0.988
950.0	1.148	1.032
1000.0	1.01	1.067
1041.0	0.9114	1.091
1050.0	0.8914	1.0959999999999999
1100.0	0.7894	1.119
1150.0	0.7018	1.139
1200.0	0.6258	1.1540000000000001
1250.0	0.5598	1.167
1253.6	0.5554	1.168
1300.0	0.5025	1.178
1350.0	0.4523	1.186
1400.0	0.4083	1.193
1450.0	0.3696	1.198
1486.6	0.3442	1.2009999999999998
1500.0	0.3355	1.202
