Energy [eV]	Cross Section	Asymmetry Parameter
140.0	0.2738	2
151.4	0.2699	2
160.0	0.2654	2
180.0	0.2433	2
200.0	0.2209	2
220.0	0.2024	2
240.0	0.1853	2
260.0	0.1693	2
280.0	0.155	2
300.0	0.1426	2
320.0	0.1316	2
340.0	0.1217	2
360.0	0.1127	2
380.0	0.1047	2
400.0	0.09746	2
420.0	0.09099	2
440.0	0.08514	2
460.0	0.07982	2
480.0	0.07495	2
500.0	0.0705	2
520.0	0.06642999999999999	2
540.0	0.06272	2
560.0	0.05931	2
580.0	0.056179999999999994	2
600.0	0.053279999999999994	2
620.0	0.050589999999999996	2
640.0	0.0481	2
660.0	0.04578	2
680.0	0.04363	2
700.0	0.04163	2
720.0	0.03977	2
740.0	0.03803	2
760.0	0.0364	2
780.0	0.03487	2
800.0	0.03343	2
850.0	0.03021	2
900.0	0.02743	2
950.0	0.02502	2
1000.0	0.02291	2
1041.0	0.02137	2
1050.0	0.02105	2
1100.0	0.01942	2
1150.0	0.01796	2
1200.0	0.016669999999999997	2
1250.0	0.01551	2
1253.6	0.015430000000000001	2
1300.0	0.014459999999999999	2
1350.0	0.013519999999999999	2
1400.0	0.01267	2
1450.0	0.011890000000000001	2
1486.6	0.01137	2
1500.0	0.01119	2
