Energy [eV]	Cross Section	Asymmetry Parameter
10.0	12.08	1.541
10.2	11.41	1.557
15.0	3.3789999999999996	1.795
16.71	2.343	1.828
20.0	1.2590000000000001	1.8359999999999999
21.22	1.025	1.821
25.0	0.5803	1.7269999999999999
26.86	0.4533	1.6569999999999998
30.0	0.3114	1.507
35.0	0.1873	1.21
40.0	0.1235	0.8753
40.81	0.1164	0.8206
45.0	0.08818	0.5485
50.0	0.06738999999999999	0.2706
55.0	0.054560000000000004	0.0677
60.0	0.04628	-0.05442
65.0	0.04067	-0.1064
70.0	0.036680000000000004	-0.1059
75.0	0.0337	-0.07046000000000001
80.0	0.03137	-0.01405
85.0	0.02947	0.05368
90.0	0.027889999999999998	0.1265
95.0	0.02653	0.2007
100.0	0.02535	0.2741
105.0	0.0243	0.3454
110.0	0.02337	0.414
115.0	0.02252	0.4793
120.0	0.02175	0.5414
125.0	0.02105	0.6
130.0	0.0204	0.6551
132.3	0.02012	0.6794
135.0	0.0198	0.7069
140.0	0.01924	0.7554
145.0	0.01871	0.8008
150.0	0.01822	0.8432
151.4	0.018090000000000002	0.8545
155.0	0.017759999999999998	0.8828
160.0	0.01732	0.9199
165.0	0.0169	0.9546
170.0	0.01651	0.9871
175.0	0.016130000000000002	1.018
180.0	0.01577	1.046
185.0	0.01542	1.073
190.0	0.015080000000000001	1.099
195.0	0.014759999999999999	1.123
200.0	0.01444	1.146
205.0	0.01414	1.168
210.0	0.01384	1.189
215.0	0.01355	1.209
220.0	0.013269999999999999	1.227
225.0	0.013000000000000001	1.245
230.0	0.01273	1.262
235.0	0.012459999999999999	1.278
240.0	0.012209999999999999	1.294
245.0	0.01196	1.3090000000000002
250.0	0.01171	1.3230000000000002
255.0	0.011470000000000001	1.3359999999999999
260.0	0.01124	1.349
265.0	0.011009999999999999	1.361
270.0	0.010790000000000001	1.3719999999999999
275.0	0.01057	1.383
280.0	0.01036	1.3940000000000001
285.0	0.010159999999999999	1.4040000000000001
290.0	0.009961	1.4140000000000001
295.0	0.009768	1.423
300.0	0.009581000000000001	1.432
305.0	0.009398	1.44
320.0	0.008879999999999999	1.464
340.0	0.008251999999999999	1.492
360.0	0.007689	1.516
380.0	0.007183	1.538
400.0	0.0067280000000000005	1.556
420.0	0.0063159999999999996	1.5730000000000002
440.0	0.005943	1.587
460.0	0.005601	1.6
480.0	0.005287	1.611
500.0	0.0049960000000000004	1.6219999999999999
520.0	0.004726	1.631
540.0	0.004475	1.639
560.0	0.004241	1.646
580.0	0.004025	1.652
600.0	0.003824	1.6580000000000001
620.0	0.0036369999999999996	1.663
640.0	0.0034630000000000004	1.6680000000000001
660.0	0.0033009999999999997	1.672
680.0	0.00315	1.676
700.0	0.003009	1.68
720.0	0.002877	1.683
740.0	0.002754	1.685
760.0	0.002639	1.6880000000000002
780.0	0.00253	1.69
800.0	0.002428	1.692
850.0	0.0021969999999999997	1.696
900.0	0.001995	1.699
950.0	0.001818	1.7
1000.0	0.001662	1.7009999999999998
1041.0	0.0015480000000000001	1.7009999999999998
1050.0	0.001525	1.7009999999999998
1100.0	0.001403	1.7
1150.0	0.001295	1.699
1200.0	0.001199	1.6980000000000002
1250.0	0.001112	1.6969999999999998
1253.6	0.001106	1.6969999999999998
1300.0	0.001034	1.695
1350.0	0.0009638	1.693
1400.0	0.0008996000000000001	1.69
1450.0	0.0008412000000000001	1.6869999999999998
1486.6	0.0008019	1.685
1500.0	0.0007878999999999999	1.685
