Energy [eV]	Cross Section	Asymmetry Parameter
240.0	0.426	0.107
245.0	0.3862	-0.2523
250.0	0.3737	-0.4571
255.0	0.3631	-0.3049
260.0	0.3446	0.0006467
265.0	0.3252	0.2093
270.0	0.3086	0.2839
275.0	0.2957	0.2417
280.0	0.287	0.1123
285.0	0.2826	-0.06919
290.0	0.282	-0.2686
295.0	0.2849	-0.4598
300.0	0.2909	-0.6266
305.0	0.2994	-0.7618
310.0	0.3102	-0.8637
315.0	0.3228	-0.9341
320.0	0.3368	-0.9767
325.0	0.3518	-0.9959
330.0	0.3676	-0.9961
335.0	0.3838	-0.9814
340.0	0.4	-0.9554
345.0	0.4162	-0.9209999999999999
350.0	0.4322	-0.8806
355.0	0.44799999999999995	-0.8359
360.0	0.4634	-0.7885
365.0	0.4785	-0.7393
370.0	0.4932	-0.6891
375.0	0.5075	-0.6386
380.0	0.5214	-0.5883
385.0	0.5348	-0.5386
390.0	0.5477	-0.4896
395.0	0.5601	-0.4417
400.0	0.5719	-0.3951
405.0	0.5831	-0.3497
410.0	0.5937	-0.3058
415.0	0.6037	-0.2633
420.0	0.6131	-0.2222
425.0	0.6219	-0.1825
430.0	0.6301	-0.1442
435.0	0.6377	-0.1072
440.0	0.6449	-0.07143
445.0	0.6516	-0.036910000000000005
450.0	0.6578	-0.0035479999999999995
455.0	0.6635	0.028710000000000003
460.0	0.6688	0.0599
465.0	0.6737	0.09008
470.0	0.6782	0.1193
475.0	0.6823	0.1475
480.0	0.6859	0.1749
485.0	0.6892	0.2014
490.0	0.6921	0.22699999999999998
495.0	0.6947	0.2517
500.0	0.6969	0.2757
505.0	0.6987	0.2989
510.0	0.7003	0.3214
515.0	0.7015	0.3432
520.0	0.7024	0.3643
525.0	0.7031	0.3847
530.0	0.7034	0.4045
535.0	0.7036	0.4237
540.0	0.7035	0.4423
560.0	0.7012	0.5117
580.0	0.696	0.5738
600.0	0.6884	0.6297
620.0	0.6788	0.6802
640.0	0.6676	0.7259
660.0	0.6553	0.7674
680.0	0.6421	0.8052
700.0	0.6283	0.8398
720.0	0.6141	0.8717
740.0	0.5995	0.9011
760.0	0.5847	0.9282
780.0	0.5698	0.9532
800.0	0.555	0.9764
850.0	0.5187	1.0270000000000001
900.0	0.4838	1.07
950.0	0.4507	1.107
1000.0	0.4198	1.137
1041.0	0.3959	1.16
1050.0	0.3909	1.1640000000000001
1100.0	0.3641	1.187
1150.0	0.3393	1.207
1200.0	0.3164	1.224
1250.0	0.2952	1.239
1253.6	0.2938	1.24
1300.0	0.2757	1.252
1350.0	0.2578	1.263
1400.0	0.2412	1.273
1450.0	0.2259	1.281
1486.6	0.2154	1.287
1500.0	0.2118	1.2890000000000001
