Energy [eV]	Cross Section	Asymmetry Parameter
50.0	0.8414	0.6518
55.0	0.8288	1.077
60.0	0.851	1.489
65.0	0.9525	1.6780000000000002
70.0	1.138	1.6159999999999999
75.0	1.392	1.422
80.0	1.695	1.204
85.0	2.033	1.01
90.0	2.397	0.85
95.0	2.78	0.722
100.0	3.174	0.6204
105.0	3.5660000000000003	0.5398
110.0	3.944	0.4758
115.0	4.298	0.4253
120.0	4.622	0.3856
125.0	4.913	0.3547
130.0	5.175	0.331
132.3	5.285	0.3221
135.0	5.4079999999999995	0.3132
140.0	5.617000000000001	0.3001
145.0	5.8020000000000005	0.2909
150.0	5.966	0.2849
151.4	6.007999999999999	0.2837
155.0	6.108	0.2814
160.0	6.229	0.2801
165.0	6.329	0.2805
170.0	6.4079999999999995	0.2824
175.0	6.468	0.2855
180.0	6.51	0.2896
185.0	6.5360000000000005	0.2945
190.0	6.547999999999999	0.3002
195.0	6.547999999999999	0.3066
200.0	6.537999999999999	0.3134
205.0	6.519	0.3207
210.0	6.4910000000000005	0.3284
215.0	6.457000000000001	0.3363
220.0	6.415	0.3445
225.0	6.367999999999999	0.3529
230.0	6.314	0.3614
235.0	6.254	0.37
240.0	6.19	0.3787
245.0	6.121	0.3874
250.0	6.047999999999999	0.3962
255.0	5.971	0.405
260.0	5.892	0.4137
265.0	5.81	0.4225
270.0	5.727	0.4312
275.0	5.642	0.4399
280.0	5.556	0.4486
285.0	5.468999999999999	0.4572
290.0	5.382000000000001	0.4658
295.0	5.295	0.4743
300.0	5.207000000000001	0.4827
305.0	5.119	0.4911
310.0	5.032	0.4994
315.0	4.945	0.5076
320.0	4.857	0.5157
325.0	4.771	0.5238
330.0	4.684	0.5317
335.0	4.598	0.5396
340.0	4.513	0.5473
360.0	4.181	0.5773
380.0	3.867	0.6058
400.0	3.572	0.6327
420.0	3.298	0.6582
440.0	3.043	0.6824
460.0	2.807	0.7051
480.0	2.59	0.7265
500.0	2.391	0.7467
520.0	2.209	0.7657
540.0	2.042	0.7836
560.0	1.8880000000000001	0.8005
580.0	1.7480000000000002	0.8164
600.0	1.619	0.8314
620.0	1.5019999999999998	0.8455
640.0	1.3940000000000001	0.8588
660.0	1.296	0.8713
680.0	1.205	0.8831
700.0	1.122	0.8942
720.0	1.046	0.9047
740.0	0.9754	0.9146
760.0	0.9108	0.9238
780.0	0.8513	0.9326
800.0	0.7965	0.9408
850.0	0.6772	0.9593
900.0	0.5788	0.9751
950.0	0.4975	0.9886
1000.0	0.4296	1.0
1041.0	0.3824	1.008
1050.0	0.3728	1.01
1100.0	0.325	1.018
1150.0	0.2845	1.025
1200.0	0.25	1.03
1250.0	0.2205	1.035
1253.6	0.2186	1.035
1300.0	0.1952	1.0390000000000001
1350.0	0.1734	1.041
1400.0	0.1545	1.043
1450.0	0.1381	1.045
1486.6	0.1275	1.045
1500.0	0.1238	1.045
