Energy [eV]	Cross Section	Asymmetry Parameter
400.0	0.3694	-0.6022
420.0	0.3677	-0.1867
440.0	0.3625	0.1192
460.0	0.3578	0.3569
480.0	0.35100000000000003	0.5317
500.0	0.3444	0.6682
520.0	0.3377	0.7817
540.0	0.3301	0.8762
560.0	0.3224	0.9545
580.0	0.3147	1.021
600.0	0.3071	1.078
620.0	0.2993	1.129
640.0	0.2916	1.173
660.0	0.2839	1.213
680.0	0.2764	1.247
700.0	0.2691	1.278
720.0	0.2619	1.307
740.0	0.2549	1.3319999999999999
760.0	0.248	1.3559999999999999
780.0	0.2414	1.3769999999999998
800.0	0.2349	1.396
850.0	0.2196	1.4380000000000002
900.0	0.2055	1.472
950.0	0.1924	1.501
1000.0	0.1805	1.525
1041.0	0.1713	1.5419999999999998
1050.0	0.1694	1.546
1100.0	0.1593	1.5630000000000002
1150.0	0.15	1.579
1200.0	0.1413	1.5919999999999999
1250.0	0.1334	1.6030000000000002
1253.6	0.1328	1.604
1300.0	0.1261	1.6130000000000002
1350.0	0.1193	1.6219999999999999
1400.0	0.113	1.63
1450.0	0.1071	1.636
1486.6	0.1031	1.641
1500.0	0.1017	1.642
