Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.3539	2
15.0	0.34	2
16.7	0.3197	2
20.0	0.2815	2
21.2	0.2689	2
25.0	0.23399999999999999	2
26.8	0.22	2
30.0	0.1981	2
35.0	0.1702	2
40.0	0.1477	2
40.8	0.1445	2
45.0	0.1291	2
50.0	0.1135	2
55.0	0.1003	2
60.0	0.0891	2
65.0	0.0796	2
70.0	0.0715	2
75.0	0.06458	2
80.0	0.058629999999999995	2
85.0	0.05351	2
90.0	0.04906	2
95.0	0.04518	2
100.0	0.04178	2
105.0	0.03877	2
110.0	0.0361	2
115.0	0.03373	2
120.0	0.0316	2
125.0	0.02968	2
130.0	0.027960000000000002	2
132.3	0.027219999999999998	2
135.0	0.0264	2
140.0	0.024990000000000002	2
145.0	0.0237	2
150.0	0.02253	2
151.4	0.02222	2
155.0	0.02146	2
160.0	0.02047	2
165.0	0.01956	2
170.0	0.01871	2
175.0	0.01793	2
180.0	0.0172	2
185.0	0.01652	2
190.0	0.015880000000000002	2
195.0	0.015280000000000002	2
200.0	0.014709999999999999	2
205.0	0.014169999999999999	2
210.0	0.01366	2
215.0	0.01318	2
220.0	0.01272	2
225.0	0.01228	2
230.0	0.01187	2
235.0	0.011479999999999999	2
240.0	0.0111	2
245.0	0.010740000000000001	2
250.0	0.0104	2
255.0	0.01008	2
260.0	0.009769	2
265.0	0.009474	2
270.0	0.009192	2
275.0	0.008923	2
280.0	0.008666	2
285.0	0.00842	2
290.0	0.008184	2
295.0	0.007959	2
300.0	0.007743000000000001	2
305.0	0.007537	2
320.0	0.006967	2
340.0	0.006308	2
360.0	0.005746	2
380.0	0.005263	2
400.0	0.004843999999999999	2
420.0	0.004477	2
440.0	0.004152	2
460.0	0.003861	2
480.0	0.0036009999999999996	2
500.0	0.0033659999999999996	2
520.0	0.003153	2
540.0	0.002961	2
560.0	0.002786	2
580.0	0.002627	2
600.0	0.002482	2
620.0	0.002349	2
640.0	0.002228	2
660.0	0.002116	2
680.0	0.002014	2
700.0	0.0019190000000000001	2
720.0	0.001831	2
740.0	0.001749	2
760.0	0.001673	2
780.0	0.001602	2
800.0	0.001535	2
850.0	0.0013859999999999999	2
900.0	0.001258	2
950.0	0.001147	2
1000.0	0.001051	2
1041.0	0.0009814000000000001	2
1050.0	0.0009670999999999999	2
1100.0	0.0008933999999999999	2
1150.0	0.0008281	2
1200.0	0.0007698	2
1250.0	0.0007174999999999999	2
1253.6	0.0007139	2
1300.0	0.0006703999999999999	2
1350.0	0.0006279	2
1400.0	0.0005895	2
1450.0	0.0005546	2
1486.6	0.0005309000000000001	2
1500.0	0.0005228	2
