Energy [eV]	Cross Section	Asymmetry Parameter
20.0	0.7123	1.551
21.22	0.747	1.7109999999999999
25.0	0.9519	1.8419999999999999
26.86	1.104	1.774
30.0	1.425	1.581
35.0	2.0469999999999997	1.256
40.0	2.713	1.003
40.81	2.82	0.9692
45.0	3.355	0.8221
50.0	3.9539999999999997	0.6934
55.0	4.502	0.6001
60.0	4.988	0.5308
65.0	5.396	0.4786
70.0	5.716	0.439
75.0	5.9510000000000005	0.409
80.0	6.114	0.3867
85.0	6.221	0.3706
90.0	6.287999999999999	0.3593
95.0	6.325	0.3519
100.0	6.337000000000001	0.3478
105.0	6.327999999999999	0.3461
110.0	6.297000000000001	0.3466
115.0	6.247999999999999	0.3487
120.0	6.181	0.3521
125.0	6.1	0.3568
130.0	6.007000000000001	0.3625
132.3	5.962000000000001	0.3654
135.0	5.907	0.369
140.0	5.8	0.3762
145.0	5.689	0.384
150.0	5.5760000000000005	0.3923
151.4	5.542999999999999	0.3947
155.0	5.459	0.4011
160.0	5.341	0.4101
165.0	5.22	0.4194
170.0	5.098	0.4288
175.0	4.975	0.4384
180.0	4.851	0.4481
185.0	4.727	0.4578
190.0	4.604	0.4675
195.0	4.482	0.4773
200.0	4.361000000000001	0.4871
205.0	4.243	0.4969
210.0	4.127	0.5066
215.0	4.013	0.5164
220.0	3.9019999999999997	0.5261
225.0	3.793	0.5357
230.0	3.6860000000000004	0.5452
235.0	3.582	0.5547
240.0	3.4789999999999996	0.5641
245.0	3.38	0.5733
250.0	3.282	0.5825
255.0	3.187	0.5915
260.0	3.094	0.6004
265.0	3.0039999999999996	0.6092
270.0	2.9160000000000004	0.6178
275.0	2.8310000000000004	0.6263
280.0	2.748	0.6347
285.0	2.668	0.643
290.0	2.59	0.6511
295.0	2.515	0.6591
300.0	2.441	0.667
305.0	2.371	0.6748
310.0	2.302	0.6825
315.0	2.235	0.69
320.0	2.171	0.6974
340.0	1.931	0.7259
360.0	1.72	0.7524
380.0	1.535	0.7771
400.0	1.3730000000000002	0.8
420.0	1.23	0.8214
440.0	1.104	0.8412
460.0	0.9933	0.8596
480.0	0.8954	0.8767
500.0	0.809	0.8926
520.0	0.7325	0.9073
540.0	0.6646	0.9209
560.0	0.6041	0.9335
580.0	0.5502	0.9452
600.0	0.5021	0.956
620.0	0.45899999999999996	0.966
640.0	0.4204	0.9752
660.0	0.3858	0.9837
680.0	0.3545	0.9915
700.0	0.3263	0.9988
720.0	0.3008	1.005
740.0	0.2777	1.012
760.0	0.2568	1.0170000000000001
780.0	0.2378	1.022
800.0	0.2205	1.0270000000000001
850.0	0.1836	1.037
900.0	0.154	1.045
950.0	0.1301	1.05
1000.0	0.1106	1.054
1041.0	0.09731000000000001	1.057
1050.0	0.09465	1.057
1100.0	0.08142	1.0590000000000002
1150.0	0.07041	1.0590000000000002
1200.0	0.06117	1.0590000000000002
1250.0	0.0534	1.058
1253.6	0.052879999999999996	1.057
1300.0	0.0468	1.056
1350.0	0.04119	1.053
1400.0	0.03638	1.05
1450.0	0.03225	1.047
1486.6	0.029580000000000002	1.044
1500.0	0.02868	1.043
