Energy [eV]	Cross Section	Asymmetry Parameter
16.7	13.65	-0.05409
20.0	19.85	0.02843
21.2	22.02	0.08073999999999999
25.0	26.94	0.2572
26.8	27.68	0.3388
30.0	26.33	0.4765
35.0	20.34	0.6751
40.0	13.99	0.8604
40.8	13.1	0.8894
45.0	9.117	1.04
50.0	5.744	1.22
55.0	3.5260000000000002	1.403
60.0	2.121	1.589
65.0	1.256	1.77
70.0	0.7367	1.926
75.0	0.4323	2.0
80.0	0.2605	1.88
85.0	0.1696	1.4169999999999998
90.0	0.1282	0.6166
95.0	0.1164	-0.1776
100.0	0.1221	-0.6343
105.0	0.1373	-0.7602
110.0	0.1573	-0.7057
115.0	0.1789	-0.5814
120.0	0.2003	-0.4404
125.0	0.2203	-0.3041
130.0	0.2385	-0.1796
132.3	0.2461	-0.1267
135.0	0.2545	-0.06809
140.0	0.2683	0.03113
145.0	0.28	0.1195
150.0	0.2896	0.1985
151.4	0.292	0.2191
155.0	0.2974	0.2694
160.0	0.3035	0.3334
165.0	0.308	0.3914
170.0	0.3111	0.4443
175.0	0.3129	0.4926
180.0	0.3136	0.5369
185.0	0.3133	0.5778
190.0	0.3122	0.6155
195.0	0.3103	0.6504
200.0	0.3078	0.6828
205.0	0.3047	0.713
210.0	0.3012	0.7412
215.0	0.2973	0.7676
220.0	0.2931	0.7923
225.0	0.2887	0.8155
230.0	0.2841	0.8374
235.0	0.2793	0.858
240.0	0.2744	0.8775
245.0	0.2694	0.8959
250.0	0.2644	0.9134
255.0	0.2593	0.9299
260.0	0.2542	0.9457
265.0	0.2491	0.9607
270.0	0.244	0.975
275.0	0.239	0.9886
280.0	0.23399999999999999	1.002
285.0	0.22899999999999998	1.014
290.0	0.2241	1.026
295.0	0.2192	1.037
300.0	0.2145	1.048
305.0	0.2098	1.058
310.0	0.2052	1.068
320.0	0.1962	1.087
340.0	0.1793	1.119
360.0	0.1639	1.147
380.0	0.15	1.171
400.0	0.1373	1.192
420.0	0.1258	1.209
440.0	0.1154	1.224
460.0	0.1061	1.237
480.0	0.09759	1.248
500.0	0.08993999999999999	1.258
520.0	0.08302000000000001	1.266
540.0	0.07675	1.273
560.0	0.07106	1.2790000000000001
580.0	0.06589	1.284
600.0	0.061189999999999994	1.288
620.0	0.05691	1.2919999999999998
640.0	0.053	1.294
660.0	0.04943	1.297
680.0	0.04616	1.298
700.0	0.043160000000000004	1.3
720.0	0.0404	1.3
740.0	0.03787	1.301
760.0	0.035539999999999995	1.301
780.0	0.03338	1.3
800.0	0.031389999999999994	1.3
850.0	0.027039999999999998	1.297
900.0	0.02344	1.2930000000000001
950.0	0.020419999999999997	1.288
1000.0	0.01789	1.2830000000000001
1041.0	0.0161	1.278
1050.0	0.01574	1.2770000000000001
1100.0	0.013909999999999999	1.27
1150.0	0.01235	1.263
1200.0	0.011000000000000001	1.255
1250.0	0.009826999999999999	1.248
1253.6	0.009748999999999999	1.247
1300.0	0.008813	1.24
1350.0	0.007927	1.232
1400.0	0.00715	1.224
1450.0	0.0064670000000000005	1.216
1486.6	0.006019	1.21
1500.0	0.0058649999999999996	1.208
