Energy [eV]	Cross Section	Asymmetry Parameter
600.0	0.157	0.5627
605.0	0.9033	1.203
610.0	4.793	1.125
615.0	6.402	0.9954
620.0	5.806	0.8573
625.0	5.294	0.737
630.0	4.827	0.6412
635.0	4.402	0.5681
640.0	4.0489999999999995	0.5139
645.0	3.7760000000000002	0.4749
650.0	3.572	0.4477
655.0	3.418	0.4298
660.0	3.299	0.4189
665.0	3.2030000000000003	0.4135
670.0	3.1189999999999998	0.4121
675.0	3.043	0.4139
680.0	2.972	0.4182
685.0	2.904	0.4244
690.0	2.841	0.4321
695.0	2.781	0.4411
700.0	2.7260000000000004	0.451
705.0	2.674	0.4618
710.0	2.627	0.4733
715.0	2.583	0.4853
720.0	2.542	0.4976
725.0	2.504	0.5103
730.0	2.467	0.5232
735.0	2.431	0.5361
740.0	2.397	0.5489999999999999
745.0	2.362	0.5619
750.0	2.3280000000000003	0.5747
755.0	2.295	0.5873
760.0	2.261	0.5997
765.0	2.228	0.6119
770.0	2.1959999999999997	0.6239
775.0	2.164	0.6356
780.0	2.133	0.6472
785.0	2.102	0.6585
790.0	2.073	0.6696
795.0	2.044	0.6804
800.0	2.016	0.6911
805.0	1.9880000000000002	0.7016
810.0	1.9609999999999999	0.7119
815.0	1.935	0.722
820.0	1.909	0.7319
825.0	1.8840000000000001	0.7417
830.0	1.859	0.7513
835.0	1.835	0.7607
840.0	1.811	0.7699
845.0	1.787	0.7789
850.0	1.7630000000000001	0.7877
855.0	1.74	0.7963
860.0	1.716	0.8048
865.0	1.694	0.8131
870.0	1.671	0.8212
875.0	1.649	0.8290000000000001
880.0	1.6269999999999998	0.8368
885.0	1.6059999999999999	0.8443
890.0	1.585	0.8517
895.0	1.564	0.8589
900.0	1.544	0.8659
950.0	1.36	0.9286
1000.0	1.202	0.98
1041.0	1.088	1.015
1050.0	1.065	1.022
1100.0	0.9471	1.056
1150.0	0.8445	1.085
1200.0	0.7553	1.109
1250.0	0.6778	1.128
1253.6	0.6726	1.129
1300.0	0.6098	1.145
1350.0	0.55	1.158
1400.0	0.4976	1.169
1450.0	0.4513	1.179
1486.6	0.4208	1.1840000000000002
1500.0	0.4102	1.186
